 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16
134	172.186	172.186	169.186	167.122	167.379	174.524	168.891	175.875	179.988	173.363	170.938	175.295	176.776	177.743	184.413	193.692
135	174.022	174.022	178.139	170.582	163.335	177.251	171.454	174.034	175.900	170.168	172.852	173.010	177.024	172.922	184.893	194.596
136	173.152	173.152	172.252	168.840	164.248	177.113	173.616	171.503	171.586	174.667	171.715	171.907	177.151	175.923	185.730	193.596
137	174.944	174.944	167.426	172.493	164.120	178.800	172.645	174.485	173.588	169.924	170.595	174.449	174.896	180.207	182.532	189.206
138	172.571	172.571	169.808	169.102	161.433	169.318	165.561	174.032	173.139	173.248	171.339	171.946	174.874	178.615	182.322	180.662
139	171.472	171.472	167.554	166.682	160.478	168.735	169.875	175.894	169.356	171.435	170.290	174.050	179.838	173.962	180.461	192.387
140	175.035	175.035	169.732	169.640	165.439	169.850	167.370	169.123	168.204	175.161	176.116	171.208	171.358	180.853	180.121	191.268
141	172.848	172.848	174.974	165.765	161.521	168.919	167.378	167.542	170.103	169.477	172.768	174.805	177.307	179.433	182.152	186.556
142	168.586	168.586	172.500	169.795	160.650	170.885	169.249	166.554	172.874	172.559	170.484	171.371	174.660	178.397	183.699	181.430
143	173.807	173.807	171.537	173.102	160.096	169.450	168.779	165.895	174.422	168.212	175.364	183.739	177.772	185.381	186.274	176.784
144	174.258	174.258	172.519	172.996	166.587	172.704	169.814	170.911	172.141	169.238	173.453	181.356	181.338	184.400	189.409	182.834
145	175.798	175.798	175.877	168.521	165.484	175.452	172.090	167.082	171.766	172.808	175.520	179.468	178.889	183.364	188.226	180.893
146	175.544	175.544	174.266	162.588	167.273	173.712	167.153	166.689	168.023	170.851	175.835	183.548	180.927	185.880	190.396	182.673
147	178.487	178.487	171.388	168.593	167.469	178.150	166.948	168.396	174.561	176.052	177.368	184.488	182.178	188.510	194.060	188.778
148	181.559	181.559	176.594	170.189	166.146	174.934	178.734	170.923	168.599	178.342	179.867	182.361	188.828	187.344	187.194	184.876
149	180.858	180.858	181.374	175.430	170.225	173.368	172.038	173.224	175.125	180.458	181.527	177.749	186.558	187.149	185.018	186.678
150	177.809	177.809	176.932	177.366	167.275	175.835	176.300	177.469	173.284	181.514	179.985	180.407	186.898	187.109	191.356	187.058
151	174.881	174.881	178.864	177.904	170.108	177.065	174.485	177.816	174.140	177.569	177.531	182.928	189.121	192.233	187.013	184.915
152	180.265	180.265	175.142	174.655	165.748	175.818	170.319	178.785	173.395	175.990	178.039	189.683	183.711	190.515	185.601	185.633
153	182.305	182.305	180.822	181.655	170.286	176.625	172.840	183.256	173.164	184.594	173.678	188.012	188.443	187.686	185.511	187.584
154	176.620	176.620	180.711	182.165	170.506	179.373	173.721	177.573	175.416	178.248	178.529	188.583	187.193	185.267	186.750	186.856
155	177.447	177.447	177.183	176.784	170.393	177.431	177.031	175.890	176.854	178.787	185.367	188.230	183.346	188.114	182.553	189.113
156	172.471	172.471	175.524	172.452	171.994	177.818	174.136	178.288	176.362	174.729	188.940	188.748	179.056	181.465	184.106	184.783
157	172.933	172.933	180.159	176.094	175.386	179.604	173.884	173.829	174.668	177.671	190.512	187.939	177.956	188.263	182.881	192.595
158	177.862	177.862	178.725	174.130	171.866	181.612	174.946	175.670	179.714	177.404	187.895	190.324	177.198	187.813	185.547	193.872
159	177.389	177.389	180.985	172.726	172.003	184.657	175.140	179.426	185.050	184.258	189.522	183.076	179.119	185.227	186.710	187.422
160	171.478	171.478	179.434	177.090	167.210	174.072	168.423	180.413	185.807	178.385	183.929	183.960	182.053	182.278	184.447	185.723
161	179.545	179.545	180.134	174.887	167.379	172.177	170.043	174.339	182.063	183.105	185.903	179.314	177.730	184.697	186.681	188.622
162	181.925	181.925	178.544	178.984	169.567	180.740	175.395	176.450	183.708	184.868	192.147	180.603	181.861	185.937	183.573	193.311
163	185.006	185.006	178.571	177.598	171.318	178.299	174.589	185.230	183.512	185.530	193.855	181.805	181.498	182.592	183.581	190.875
164	179.843	179.843	173.903	171.296	171.822	178.956	172.468	177.406	179.431	181.247	181.037	180.895	174.269	184.329	185.309	188.103
165	178.896	178.896	175.694	171.466	168.742	177.412	174.146	178.601	182.005	182.390	179.376	177.517	175.029	181.067	185.177	190.799
166	174.886	174.886	175.777	174.416	166.477	177.834	172.065	172.858	183.566	181.976	182.648	173.794	176.789	178.887	185.975	189.152
167	176.620	176.620	174.045	179.238	168.122	176.088	175.049	177.026	184.717	180.200	183.886	176.924	180.250	181.529	191.365	187.871
168	174.738	174.738	176.349	179.441	169.395	177.878	169.200	179.530	182.602	185.729	179.772	181.197	178.717	175.458	184.976	179.784
169	182.065	182.065	174.767	175.165	170.378	177.798	175.306	180.871	185.158	179.455	180.480	177.557	178.759	180.052	191.459	182.701
170	175.303	175.303	171.558	174.401	169.346	174.308	174.804	177.153	191.959	183.410	179.352	179.511	178.615	183.392	185.331	182.444
171	175.908	175.908	174.299	170.464	165.621	175.071	169.052	181.646	178.131	182.489	180.203	178.026	182.155	179.736	179.976	183.271
172	184.102	184.102	175.179	172.233	163.820	175.550	174.029	179.938	180.547	181.049	177.609	179.899	175.578	181.792	182.530	188.880
173	177.870	177.870	177.935	170.284	167.482	175.308	176.529	177.688	181.424	182.269	181.398	177.267	175.871	180.262	182.791	182.396
174	178.437	178.437	175.500	168.219	167.882	174.401	177.962	179.626	183.202	187.235	179.060	182.553	178.513	182.674	183.862	184.918
175	183.374	183.374	172.490	172.099	168.311	173.908	170.548	180.431	177.790	182.168	176.272	183.219	177.217	176.206	184.693	183.547
176	177.571	177.571	178.715	175.075	169.159	176.090	175.152	184.823	182.559	183.507	183.772	172.458	182.147	186.366	188.414	189.230
177	177.128	177.128	178.226	172.756	165.168	173.080	174.812	180.646	183.974	185.276	182.435	174.763	178.247	186.435	187.605	185.338
178	173.884	173.884	174.637	168.628	165.681	176.706	168.705	180.787	181.241	183.796	178.527	181.966	176.561	178.806	184.470	181.715
179	170.565	170.565	174.187	169.639	169.678	173.986	171.222	181.733	178.072	185.974	176.063	181.859	180.486	181.582	184.230	183.661
180	176.388	176.388	179.463	172.934	168.067	173.215	168.564	180.006	181.948	183.419	181.924	178.617	178.054	179.561	184.808	182.165
181	173.830	173.830	175.913	168.953	168.531	172.231	173.366	179.338	179.573	177.608	175.804	177.605	178.343	185.768	185.118	188.232
182	179.389	179.389	177.145	172.658	165.971	175.217	173.346	179.338	179.446	175.638	179.846	182.897	184.334	183.613	187.526	186.944
183	177.769	177.769	173.301	170.566	169.744	175.797	177.611	177.951	178.447	176.889	180.384	183.253	185.507	184.468	187.584	180.494
184	178.322	178.322	172.809	171.378	167.273	173.582	175.660	174.858	179.939	180.896	180.395	181.875	186.966	181.628	183.303	183.232
185	176.328	176.328	176.092	172.741	168.523	171.492	174.950	179.031	174.537	181.394	176.053	178.039	179.650	182.970	187.153	187.423
186	180.643	180.643	176.145	171.962	167.066	176.842	172.237	177.195	176.392	182.100	176.311	180.436	176.306	182.130	184.712	184.459
187	178.282	178.282	177.089	171.578	165.805	177.899	171.501	175.723	175.173	182.646	174.451	186.095	175.672	182.618	179.045	189.220
188	177.088	177.088	177.002	170.132	167.016	175.992	172.936	179.805	179.451	178.585	182.122	186.014	181.129	182.308	180.829	184.871
189	181.150	181.150	175.029	174.295	169.991	177.403	179.993	176.476	184.284	180.658	178.318	185.120	178.869	181.841	193.211	182.788
190	179.641	179.641	173.616	174.259	165.094	172.303	176.462	178.954	180.788	181.337	177.490	179.859	181.030	178.840	193.104	188.946
191	179.774	179.774	175.560	173.446	168.074	172.299	166.842	183.422	173.636	181.219	181.133	178.233	181.128	182.328	185.549	186.582
192	177.940	177.940	178.380	173.924	169.065	179.889	173.540	184.638	176.805	180.880	187.493	178.171	176.778	182.380	185.372	183.951
193	172.768	172.768	175.684	171.701	168.040	176.649	172.666	183.004	181.379	179.080	185.219	182.393	177.693	185.341	184.743	185.986
194	173.676	173.676	176.523	174.104	166.052	176.582	173.438	178.763	180.716	180.032	180.616	183.588	179.536	185.654	182.953	185.542
195	173.932	173.932	181.219	167.194	165.065	171.263	173.053	177.986	181.124	176.345	175.280	176.516	177.450	185.703	183.356	183.787
196	177.417	177.417	172.967	166.780	170.228	175.242	173.525	182.307	177.556	174.945	178.306	175.971	177.829	181.824	187.984	182.950
197	186.390	186.390	173.774	171.213	169.063	182.092	169.465	180.221	179.762	175.982	182.080	184.442	174.297	180.743	183.760	183.601
198	175.250	175.250	177.699	171.429	167.850	175.890	169.458	178.610	178.473	176.474	178.516	183.103	177.641	184.646	186.726	180.662
199	175.623	175.623	177.215	174.338	168.635	176.717	171.565	176.047	175.465	179.014	176.965	182.124	179.302	182.638	186.028	183.042
200	175.563	175.563	179.802	171.898	164.660	168.913	171.638	175.684	177.153	181.501	176.417	179.607	176.719	176.939	182.448	183.827
201	171.846	171.846	169.409	173.259	166.349	172.905	171.899	179.135	179.512	181.526	177.136	178.070	178.244	179.489	177.509	179.534
202	172.757	172.757	170.083	168.011	165.520	174.769	169.142	180.005	175.670	176.786	178.577	183.243	183.875	179.407	178.198	183.671
