 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
140	298.089	298.089	301.243	327.279	293.906	312.978	306.935	297.393	280.530	307.536	304.909	298.682
141	304.244	304.244	304.141	327.378	289.642	296.497	305.899	297.754	281.238	294.913	295.108	308.663
142	311.526	311.526	300.518	322.502	288.241	294.783	308.257	288.938	277.254	292.236	291.343	302.141
143	311.580	311.580	290.492	327.070	290.560	293.265	310.614	292.324	274.257	294.592	298.922	295.489
144	324.625	324.625	310.376	319.086	297.453	302.324	317.344	302.118	291.273	298.575	301.931	296.837
145	308.365	308.365	299.969	325.858	295.927	299.769	317.426	293.465	287.051	294.438	304.906	301.098
146	305.240	305.240	305.242	328.226	300.179	290.805	315.325	281.919	287.308	296.390	296.411	293.853
147	315.839	315.839	302.357	319.697	300.102	292.485	317.314	284.314	280.764	284.806	293.839	296.590
148	322.247	322.247	319.010	306.714	299.467	292.444	311.911	296.366	286.751	284.403	291.270	292.195
149	305.301	305.301	304.072	315.638	299.843	294.643	306.051	293.135	281.695	288.116	287.189	286.783
150	323.118	323.118	299.952	307.517	306.502	296.228	307.613	292.683	290.645	292.409	288.071	291.931
151	312.191	312.191	301.896	309.603	304.874	290.454	307.491	296.716	285.180	281.212	291.757	285.367
152	305.016	305.016	304.981	305.031	310.088	288.882	293.167	293.917	288.187	270.531	286.375	280.164
153	304.791	304.791	301.842	308.656	318.592	296.943	295.761	288.401	283.536	286.363	290.352	282.668
154	309.254	309.254	296.145	307.716	315.559	293.784	289.402	301.146	279.678	282.931	283.083	283.097
155	296.748	296.748	289.599	294.492	312.248	286.706	286.057	299.175	291.591	282.033	289.965	288.499
156	296.953	296.953	293.651	287.793	303.503	292.250	287.889	286.680	285.675	283.212	299.610	286.169
157	304.754	304.754	288.797	292.011	300.449	288.957	283.744	286.087	273.791	284.341	300.922	279.268
158	305.145	305.145	292.272	300.475	294.687	282.341	286.162	276.981	271.157	287.505	289.999	283.671
159	305.719	305.719	292.318	292.582	297.767	284.910	292.562	280.472	274.512	282.601	281.254	281.336
160	298.061	298.061	282.598	291.820	296.818	284.793	289.196	284.911	276.808	287.967	290.628	289.534
161	298.623	298.623	279.897	285.155	294.414	280.517	284.931	275.576	272.560	284.239	284.910	273.516
162	296.135	296.135	295.593	288.498	289.907	278.762	281.933	270.857	277.255	283.511	283.466	272.702
163	303.343	303.343	294.571	292.817	294.121	286.829	280.289	279.376	282.932	288.632	296.975	282.343
164	293.174	293.174	296.362	287.555	282.089	280.952	283.485	276.944	272.855	276.592	291.974	272.962
165	283.658	283.658	288.513	283.052	278.702	279.431	279.031	273.991	276.991	286.203	288.338	272.021
166	295.388	295.388	290.542	282.004	289.271	290.008	275.009	272.440	271.566	280.572	285.251	279.607
167	291.209	291.209	287.976	281.894	288.814	288.142	264.827	266.463	273.757	282.069	276.576	280.374
