 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22	Profile_Slice_23	Profile_Slice_24
77	186.407	186.407	178.462	185.481	183.854	187.861	177.747	179.460	185.941	182.995	184.157	181.078	194.306	187.600	184.384	183.562	181.993	185.414	190.241	187.404	182.663	190.865	180.645	181.831
78	182.353	182.353	186.287	183.522	181.135	189.764	184.841	182.997	184.373	183.408	184.253	186.612	190.365	184.894	177.380	186.769	187.560	179.711	188.081	188.964	183.505	187.421	183.305	183.886
79	187.542	187.542	187.779	181.354	181.980	187.166	182.148	185.144	188.406	187.116	185.227	188.375	190.404	186.565	189.487	184.682	187.950	179.616	184.590	188.486	184.415	184.524	183.505	186.306
80	185.468	185.468	181.590	180.238	183.868	183.539	186.090	192.373	184.845	187.121	182.061	187.618	198.132	191.402	187.818	186.488	188.966	189.139	183.618	181.802	189.794	184.736	181.502	183.374
81	182.697	182.697	190.093	185.073	195.670	186.452	185.692	182.927	179.194	187.459	180.351	181.435	191.371	186.584	184.067	185.910	187.284	188.949	188.482	189.182	189.560	190.063	186.415	183.930
82	184.275	184.275	185.305	180.936	178.602	182.069	181.467	181.424	179.112	190.390	181.138	174.271	188.817	183.815	189.105	185.232	186.851	188.121	186.699	188.143	189.224	189.732	185.212	189.070
83	185.092	185.092	183.108	181.757	181.019	182.044	185.572	182.084	190.952	189.807	188.587	185.422	191.646	186.378	190.300	188.507	186.002	192.141	189.424	179.603	187.246	186.962	190.427	189.549
84	183.952	183.952	184.004	180.520	183.373	186.900	185.875	182.752	187.404	183.835	189.894	191.988	194.553	183.999	184.975	185.695	184.648	186.376	184.493	178.838	187.538	187.453	186.951	182.022
85	187.709	187.709	184.939	182.547	189.747	185.572	185.007	187.151	182.463	190.538	187.326	189.226	194.081	187.389	189.168	188.945	190.995	186.545	183.968	189.042	186.342	192.424	187.214	181.770
86	187.605	187.605	186.416	185.630	184.908	182.474	187.163	184.304	181.062	190.484	181.832	188.447	190.769	193.148	188.093	190.076	185.297	184.104	185.035	187.406	187.004	187.273	187.188	184.984
87	185.685	185.685	183.379	180.767	184.333	185.988	189.344	184.363	181.673	187.241	186.784	186.492	195.246	193.092	186.681	185.832	185.532	182.496	189.082	186.376	186.061	187.543	187.020	183.856
88	187.119	187.119	185.567	181.013	187.309	192.447	189.369	181.894	185.433	188.025	189.927	184.756	198.807	187.194	191.318	187.950	191.031	186.625	185.314	189.704	190.586	191.315	191.491	186.649
89	188.214	188.214	184.987	186.663	184.683	189.324	187.922	184.862	183.973	186.452	186.937	183.580	194.098	187.200	192.405	189.225	192.883	188.421	183.500	192.913	188.641	192.849	193.094	185.575
90	184.662	184.662	188.087	184.827	185.209	193.368	185.092	186.541	183.292	189.099	190.840	189.305	198.524	192.242	185.905	197.378	190.059	188.164	193.377	196.203	191.390	189.660	190.696	184.950
91	190.984	190.984	188.408	187.870	185.899	189.900	184.061	186.339	187.249	184.479	193.004	189.800	193.112	184.447	190.230	194.659	188.484	185.077	188.144	187.297	185.421	191.402	189.918	183.265
92	192.531	192.531	181.732	183.074	181.038	189.551	190.640	185.403	177.758	190.788	194.000	191.168	197.830	189.014	189.904	196.068	185.500	187.413	186.600	192.728	188.840	190.552	193.215	184.916
93	188.458	188.458	184.858	185.428	186.075	186.508	185.907	184.521	179.064	184.962	196.811	189.373	198.594	186.378	189.204	191.881	188.399	187.625	188.681	189.440	186.902	186.351	184.108	189.179
94	192.462	192.462	182.681	186.342	184.000	183.191	184.405	184.057	175.803	184.543	190.576	190.149	189.397	193.070	184.349	189.021	191.226	190.445	185.499	192.376	181.025	188.975	186.097	183.945
95	189.616	189.616	181.802	183.082	182.590	189.146	184.975	184.747	179.336	186.119	187.666	192.264	197.622	186.764	187.365	182.803	193.014	188.700	182.076	188.067	185.975	185.250	188.830	190.004
96	188.700	188.700	185.143	185.730	183.818	184.633	182.672	191.434	180.342	180.246	186.191	195.380	195.113	187.074	193.577	188.423	192.947	191.876	186.825	190.965	188.517	190.785	196.413	183.298
