 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19	Profile_Slice_20	Profile_Slice_21	Profile_Slice_22
77	223.660	223.660	243.483	240.750	248.111	240.092	260.195	248.911	243.894	218.131	234.422	232.145	223.173	235.566	244.373	238.622	230.892	227.785	229.110	221.863	217.582	238.972
78	242.583	242.583	252.221	246.731	253.063	252.606	263.395	254.372	250.673	224.250	230.658	237.417	228.379	248.664	247.106	247.163	237.669	230.818	233.962	226.456	226.822	243.798
79	237.281	237.281	261.212	257.947	258.560	255.815	263.030	262.608	261.923	236.144	235.794	239.281	240.072	251.468	252.463	247.750	250.209	237.232	238.218	238.131	227.898	244.095
80	235.156	235.156	260.354	275.857	255.687	264.062	252.568	262.825	264.344	246.219	237.504	247.667	239.712	255.327	253.982	263.871	242.702	243.228	232.070	239.504	234.115	242.209
81	242.529	242.529	258.826	268.865	262.123	259.227	245.667	265.415	267.345	250.404	248.280	238.595	232.431	260.862	258.618	256.842	244.901	244.591	232.619	238.097	232.309	240.192
82	254.332	254.332	259.134	275.781	260.875	244.003	251.497	272.203	269.631	246.466	249.463	250.046	234.689	261.460	257.675	259.717	243.540	240.331	235.470	244.453	238.151	233.026
83	254.849	254.849	262.376	268.535	251.142	241.281	250.613	258.027	265.947	250.550	263.480	262.126	231.984	261.618	256.265	257.432	240.403	234.676	239.852	244.340	235.301	234.642
84	251.994	251.994	261.422	255.687	251.698	253.684	249.907	257.543	260.763	263.075	251.187	267.475	240.735	260.490	250.741	250.329	251.151	237.875	236.450	244.338	235.208	242.831
85	257.606	257.606	252.167	259.196	243.865	242.479	234.617	252.961	252.753	263.143	266.931	261.744	255.108	256.098	241.512	251.656	250.121	248.118	238.579	251.468	242.816	250.081
86	253.280	253.280	247.471	247.234	241.610	242.033	231.674	246.704	251.974	258.981	275.889	264.266	257.813	259.804	241.994	243.631	249.190	246.548	242.742	252.684	249.658	244.974
87	240.876	240.876	236.373	243.313	237.727	235.490	228.581	239.672	250.422	254.839	267.031	256.278	252.547	252.044	232.518	231.692	242.054	246.772	250.148	243.417	247.793	239.999
88	233.118	233.118	241.512	244.708	246.391	235.419	231.127	254.330	241.394	255.207	263.737	252.230	256.728	245.920	231.416	236.929	258.152	254.123	255.163	248.391	242.708	245.347
89	239.831	239.831	248.700	234.293	245.985	229.497	234.907	246.554	238.436	257.596	251.609	256.589	250.684	244.741	236.161	230.065	252.205	257.497	249.597	241.158	239.763	256.726
90	234.729	234.729	234.961	243.521	231.416	232.031	223.352	235.463	230.968	254.565	252.991	260.852	250.289	245.969	230.438	223.872	247.109	258.997	261.491	245.001	236.924	246.699
91	232.159	232.159	236.407	238.343	240.005	244.519	229.871	237.040	237.784	255.053	256.544	255.726	247.362	238.910	229.541	228.245	239.373	250.551	264.255	240.555	241.062	240.428
92	232.485	232.485	240.928	235.884	235.139	241.198	228.882	235.167	238.203	237.688	249.396	253.602	245.960	233.976	232.535	231.677	234.629	240.894	257.283	228.824	235.583	244.786
93	227.198	227.198	238.699	230.958	239.892	233.027	231.203	235.914	233.560	238.839	244.906	249.361	252.363	242.589	226.317	229.393	239.013	242.416	256.076	235.255	234.838	244.888
94	231.877	231.877	239.627	224.491	233.806	236.690	233.822	230.239	241.249	235.479	244.014	248.985	248.695	240.358	224.342	227.433	225.057	227.622	243.093	228.298	232.066	238.635
95	225.713	225.713	232.063	229.162	229.588	236.703	233.990	232.110	240.552	241.105	239.123	247.167	244.019	235.375	227.638	228.546	219.279	235.570	231.377	226.756	232.955	234.793
96	234.620	234.620	235.815	235.460	231.849	233.181	231.159	231.348	238.697	246.971	242.759	241.324	240.122	231.669	229.097	226.661	221.193	228.416	243.646	231.671	239.190	228.580
97	228.096	228.096	232.675	231.523	226.842	226.055	227.701	230.398	253.710	247.177	237.351	234.737	243.627	231.932	227.184	226.852	216.267	230.221	234.375	230.100	234.793	241.395
98	228.489	228.489	236.669	226.490	220.985	234.144	224.192	226.881	239.664	239.894	236.064	240.180	241.465	240.535	238.562	216.889	219.622	224.564	233.412	228.872	227.309	229.488
99	221.691	221.691	237.153	230.756	222.465	224.722	231.135	237.579	238.837	231.566	234.761	238.053	237.983	230.678	230.074	222.992	216.117	229.227	225.460	223.267	228.700	228.462
100	222.573	222.573	226.191	226.211	227.763	224.100	229.731	232.535	242.299	227.675	238.652	235.899	241.559	236.393	228.940	223.884	223.133	225.724	231.061	222.522	238.898	223.454
101	223.279	223.279	226.099	225.106	227.023	226.362	218.809	227.952	230.389	236.855	237.614	234.923	235.883	223.508	227.892	221.168	219.362	215.305	223.728	221.537	225.411	226.972
102	228.687	228.687	221.489	219.361	225.353	226.369	220.638	230.083	225.438	229.120	235.236	234.319	231.685	218.365	224.744	217.549	224.901	221.970	223.823	213.416	228.600	228.392
103	222.312	222.312	217.052	220.226	224.302	227.732	222.434	226.950	233.276	228.797	231.741	224.596	225.978	223.587	230.759	223.478	229.544	229.470	225.822	227.378	217.860	221.571
104	215.201	215.201	218.056	222.145	222.935	214.574	211.636	220.825	230.392	230.726	230.613	226.772	219.938	225.643	218.580	216.545	215.415	222.293	223.702	222.995	227.962	224.623
105	225.787	225.787	218.457	219.598	217.888	216.571	215.470	221.507	226.039	225.127	223.530	226.254	225.321	220.889	216.563	211.999	209.726	218.947	224.616	218.417	225.758	216.014
106	217.692	217.692	215.625	220.990	215.391	219.090	214.572	225.607	226.045	218.773	219.241	214.564	221.239	217.395	217.684	216.429	215.549	219.408	222.229	219.304	219.436	217.749
107	214.295	214.295	215.728	214.653	212.642	210.231	208.100	222.195	216.014	226.543	220.684	212.940	220.652	222.098	215.490	213.143	211.585	214.288	224.702	221.235	213.782	217.910
108	218.688	218.688	216.048	211.297	208.958	208.765	208.386	214.692	217.118	225.370	209.413	216.486	223.218	220.302	211.510	219.744	210.455	214.463	223.742	218.058	214.954	215.193
109	214.094	214.094	213.815	215.803	203.496	209.098	207.146	205.742	213.800	221.729	207.502	213.993	216.651	213.396	214.459	211.461	208.848	215.918	218.265	214.689	215.364	216.570
110	209.522	209.522	212.590	214.883	208.829	217.686	206.925	206.159	213.476	216.576	217.578	217.485	211.383	211.868	208.905	212.306	213.692	211.003	218.475	208.515	213.075	217.659
111	208.019	208.019	207.266	213.452	213.998	209.324	206.753	207.862	210.271	214.095	214.826	215.746	211.599	208.089	212.302	210.772	213.559	213.708	217.927	212.121	206.323	210.638
112	206.862	206.862	214.078	202.082	214.041	207.244	196.198	199.700	209.657	217.757	212.434	212.567	215.048	210.458	208.227	209.985	216.849	216.946	214.179	216.651	207.908	208.820
113	210.436	210.436	201.156	200.729	204.441	211.462	203.579	208.196	216.926	217.999	209.041	214.588	213.498	210.174	208.857	206.486	205.588	211.860	208.057	210.511	216.910	210.235
114	206.176	206.176	200.053	206.121	201.983	204.203	201.533	209.161	214.389	212.005	212.282	216.588	208.142	201.936	208.797	208.213	207.192	212.950	214.658	204.047	214.384	204.872
115	202.084	202.084	212.105	204.130	197.016	200.388	199.589	202.789	215.607	208.221	216.248	217.972	202.643	210.517	206.578	204.458	205.875	211.505	207.252	214.144	205.190	196.796
116	206.933	206.933	211.422	204.488	209.606	205.641	202.827	206.883	213.604	205.071	208.742	213.456	204.608	213.360	200.356	203.298	203.991	209.336	208.340	211.931	202.556	203.984
117	209.774	209.774	203.342	207.744	206.490	200.281	203.529	202.610	207.976	209.168	221.344	206.024	210.531	209.054	199.635	205.425	203.643	211.481	208.640	212.933	201.612	209.397
118	207.655	207.655	202.921	211.048	201.518	201.749	199.184	209.160	201.961	211.088	210.981	206.017	208.826	217.608	208.019	205.273	200.917	203.954	212.229	206.561	200.867	205.146
119	220.252	220.252	207.247	214.273	199.569	205.868	208.530	211.693	208.841	214.715	208.561	209.291	205.230	206.741	208.862	204.266	200.624	202.033	206.737	203.289	205.644	202.380
120	212.118	212.118	207.347	204.624	201.168	207.912	211.401	203.349	207.315	212.319	213.374	204.383	204.428	201.559	211.106	208.518	207.831	199.079	210.345	206.904	204.513	205.241
121	198.935	198.935	202.786	205.827	198.715	198.939	198.956	205.258	208.479	211.886	212.190	206.622	205.128	205.806	213.346	208.493	215.304	199.195	211.907	206.769	204.867	203.106
122	203.804	203.804	207.451	202.280	200.303	198.145	206.106	204.398	207.349	210.919	212.984	209.907	198.019	209.385	207.146	207.153	202.443	196.672	207.342	204.755	206.986	201.291
123	203.797	203.797	204.065	202.813	202.063	202.450	205.231	204.774	208.655	208.960	204.825	209.208	208.103	210.509	205.543	207.374	216.956	200.724	209.175	207.953	205.589	198.931
124	203.560	203.560	204.551	206.428	206.365	202.975	202.826	198.839	204.247	211.628	208.255	211.854	205.697	212.409	213.061	207.059	202.226	208.737	205.096	203.205	201.690	210.220
125	207.389	207.389	202.852	210.473	201.464	201.139	200.516	214.414	208.255	202.666	211.768	208.909	202.992	204.998	216.565	212.750	201.078	206.569	205.792	208.915	204.186	211.520
126	203.762	203.762	200.376	209.152	203.413	210.956	200.261	205.827	205.266	204.066	211.436	205.998	203.475	205.666	210.856	212.432	206.143	209.189	205.485	213.682	204.517	211.460
127	207.369	207.369	200.728	204.450	201.507	211.594	206.399	202.467	205.956	202.335	205.473	204.100	207.120	206.408	210.528	215.560	211.820	204.237	216.794	206.482	212.062	208.502
128	203.441	203.441	199.477	202.520	208.585	208.648	208.994	205.832	206.952	206.682	213.485	205.675	205.548	209.147	215.901	204.052	210.706	206.436	212.471	205.396	201.130	212.989
129	202.512	202.512	215.874	203.756	211.492	209.640	212.483	209.112	212.084	214.411	221.685	215.262	210.605	211.773	215.158	209.025	199.871	208.990	210.865	207.511	206.083	200.119
130	212.058	212.058	207.363	204.389	211.636	215.880	214.728	210.303	221.166	211.812	225.188	220.459	203.180	217.059	217.448	214.395	210.424	210.492	205.676	208.813	213.312	204.187
