 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7
246	508.806	520.639	503.412	514.751	508.477	521.033	511.348
247	507.798	509.031	490.826	513.158	519.204	506.781	507.216
248	519.125	510.883	504.710	504.012	520.985	518.325	515.891
249	511.680	509.510	492.998	505.343	512.275	515.297	515.341
250	523.376	515.130	517.096	503.098	518.441	517.867	513.634
251	514.170	502.703	503.071	500.207	516.526	510.600	517.923
252	514.432	511.714	510.499	502.118	508.009	512.493	513.747
253	512.013	519.768	506.113	522.078	512.440	523.017	513.958
254	510.015	525.717	509.335	507.820	509.748	521.256	517.563
255	507.488	509.286	500.717	513.310	509.009	511.537	511.790
256	508.829	526.006	503.098	511.681	509.048	512.617	506.718
257	516.834	521.162	499.539	508.303	519.840	518.249	513.018
258	511.342	516.924	491.974	516.816	518.044	514.728	514.431
259	516.133	514.434	501.360	511.937	515.730	502.352	515.866
260	519.365	510.009	500.979	510.342	514.039	510.079	527.701
261	512.396	512.396	517.243	525.571	511.854	511.658	518.460
262	525.583	525.583	516.007	509.170	528.480	516.509	523.999
263	511.371	511.371	510.229	513.889	523.480	513.851	502.206
264	518.302	518.302	501.285	512.939	537.609	516.859	517.860
265	520.040	520.040	512.841	514.294	525.310	516.331	521.993
266	506.959	506.959	512.968	511.447	529.144	517.504	519.951
267	512.205	512.205	517.815	504.259	530.203	513.676	517.978
268	515.830	515.830	506.618	514.532	517.642	516.513	518.305
269	524.293	524.293	509.289	516.877	513.742	517.633	513.855
270	515.415	515.415	507.161	515.389	516.279	501.976	518.895
271	521.921	521.921	518.115	519.794	514.223	519.141	528.469
272	519.104	519.104	516.415	519.632	505.803	513.679	519.708
273	515.768	515.768	505.931	511.354	507.725	512.162	522.413
274	520.707	520.707	508.169	515.008	501.826	499.821	516.083
275	513.151	513.151	518.148	503.365	512.829	507.052	514.083
276	505.321	505.321	508.939	511.644	518.676	526.887	517.271
277	506.182	506.182	506.973	517.423	518.552	531.652	516.083
278	517.377	517.377	504.855	516.246	520.097	522.754	521.897
279	524.652	524.652	502.692	511.782	501.311	521.442	517.688
280	520.802	520.802	512.949	513.668	511.982	509.032	524.420
281	505.985	505.985	508.794	513.716	509.389	508.807	514.576
282	506.054	506.054	513.702	508.557	504.848	493.763	516.662
283	508.138	508.138	518.456	514.929	524.066	506.455	507.876
284	505.917	505.917	517.174	508.375	512.340	511.849	512.058
285	512.892	512.892	520.230	520.269	514.790	517.519	522.750
286	517.917	517.917	500.178	519.307	495.482	512.865	519.164
287	510.901	510.901	502.815	515.149	500.842	518.287	511.806
288	510.983	510.983	510.661	512.396	508.825	511.736	513.267
289	513.514	513.514	517.388	523.625	514.035	506.067	516.089
290	519.720	519.720	502.983	522.965	504.402	503.237	519.097
291	513.441	513.441	501.395	512.852	528.350	514.454	507.521
292	523.724	523.724	507.780	515.050	524.221	511.982	512.784
293	528.812	528.812	493.763	512.407	518.549	505.398	496.875
294	516.007	516.007	501.237	516.231	520.594	511.265	518.602
295	509.790	509.790	498.939	511.514	521.918	520.025	520.380
296	509.678	509.678	506.893	518.489	523.621	509.882	525.809
297	517.838	517.838	502.874	516.640	515.106	509.276	521.758
298	510.092	510.092	506.848	514.680	513.075	505.255	507.928
299	520.452	520.452	496.058	510.771	521.701	513.823	516.888
300	511.154	511.154	489.837	520.760	523.432	503.054	517.524
301	508.959	508.959	502.874	514.316	525.262	509.553	508.754
302	507.735	507.735	506.721	501.646	522.965	511.006	507.860
