 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
98	1338.502	1490.031	1448.299	1422.871	1441.205	1402.415	1420.684	1433.461	1380.746	1401.995	1389.536	1355.412	1349.847	1341.183
99	1327.743	1491.970	1444.667	1408.842	1420.995	1398.524	1420.468	1440.670	1381.894	1392.983	1391.693	1358.289	1332.395	1358.979
100	1328.641	1469.574	1454.359	1407.597	1441.616	1399.154	1447.289	1451.158	1399.098	1399.056	1376.752	1356.456	1336.058	1359.026
101	1353.446	1481.145	1456.744	1404.146	1427.839	1409.491	1445.143	1428.134	1383.826	1405.713	1375.566	1362.980	1352.606	1328.698
102	1340.883	1486.706	1452.060	1406.083	1435.639	1400.993	1435.535	1402.734	1374.698	1410.309	1376.438	1385.069	1358.365	1331.973
103	1324.446	1487.479	1438.640	1389.048	1413.128	1400.226	1432.754	1437.024	1370.316	1401.692	1360.915	1371.417	1348.617	1359.539
104	1327.506	1505.347	1441.724	1402.678	1430.212	1386.884	1446.585	1426.903	1377.115	1404.111	1365.202	1391.177	1348.222	1358.597
105	1350.704	1491.019	1463.607	1398.864	1430.996	1409.181	1435.672	1438.436	1380.200	1389.037	1360.115	1359.359	1356.896	1354.334
106	1339.203	1485.811	1469.415	1403.229	1454.984	1391.813	1446.213	1443.129	1378.274	1411.620	1378.081	1354.956	1367.487	1365.699
107	1344.439	1501.948	1452.593	1428.178	1452.666	1404.419	1432.840	1449.765	1387.728	1392.097	1377.396	1358.231	1351.677	1360.390
108	1355.731	1510.077	1473.400	1429.239	1450.883	1423.189	1447.110	1455.255	1420.319	1399.903	1379.601	1367.463	1360.447	1363.148
109	1349.874	1498.704	1449.062	1395.454	1461.036	1413.345	1469.636	1460.033	1389.034	1395.734	1382.489	1365.800	1366.794	1359.747
110	1350.294	1483.369	1419.123	1395.609	1456.045	1426.552	1458.550	1450.930	1377.354	1387.776	1375.768	1372.173	1355.780	1362.791
111	1349.099	1484.742	1464.189	1431.445	1467.652	1425.124	1440.877	1437.077	1372.998	1390.290	1384.295	1365.819	1357.259	1350.012
112	1334.849	1498.104	1461.111	1415.483	1454.389	1408.593	1418.852	1430.462	1381.725	1383.622	1375.011	1373.775	1353.079	1350.110
113	1346.136	1493.441	1453.593	1426.355	1451.249	1392.375	1430.276	1443.158	1386.220	1390.788	1412.562	1392.111	1379.697	1345.863
114	1350.027	1504.096	1489.533	1431.881	1455.873	1395.358	1426.038	1441.231	1376.408	1408.841	1405.343	1355.504	1376.546	1336.686
115	1335.612	1526.602	1456.234	1435.257	1450.040	1416.945	1436.579	1426.962	1401.485	1405.303	1405.312	1357.131	1373.567	1359.849
116	1339.222	1489.656	1465.610	1440.333	1440.326	1413.043	1440.716	1442.118	1376.971	1409.933	1398.120	1369.984	1361.960	1350.836
117	1374.346	1502.800	1482.712	1438.143	1447.984	1436.970	1459.111	1462.283	1388.084	1398.019	1398.075	1406.673	1370.859	1379.945
118	1350.348	1488.664	1490.578	1433.908	1443.251	1415.367	1439.005	1467.694	1384.104	1408.434	1395.034	1379.357	1361.122	1369.227
119	1373.449	1512.459	1469.928	1424.090	1431.947	1408.277	1449.605	1436.863	1398.495	1397.707	1395.238	1371.763	1348.914	1360.902
120	1361.460	1514.038	1480.849	1422.462	1444.495	1410.664	1445.500	1435.341	1394.781	1405.016	1416.133	1378.494	1358.237	1373.473
121	1363.707	1513.864	1482.125	1416.408	1441.540	1434.004	1447.639	1449.489	1412.187	1404.088	1419.830	1402.889	1369.483	1355.837
122	1371.464	1525.938	1487.150	1439.510	1447.796	1429.217	1446.823	1422.487	1395.179	1389.260	1397.640	1381.900	1354.311	1378.327
123	1370.985	1539.701	1476.597	1438.757	1451.063	1416.842	1475.019	1423.577	1420.379	1397.143	1400.259	1353.135	1377.140	1384.479
124	1365.619	1543.529	1470.854	1426.979	1461.793	1415.743	1477.807	1448.670	1405.915	1428.158	1390.786	1394.120	1382.989	1364.654
125	1346.969	1497.618	1460.639	1428.011	1454.117	1419.271	1449.701	1450.092	1391.110	1414.083	1383.834	1389.623	1373.464	1360.623
126	1355.315	1513.133	1458.896	1422.885	1450.465	1416.403	1464.944	1450.964	1388.792	1400.113	1407.386	1387.019	1382.662	1379.535
127	1350.160	1518.874	1479.883	1424.292	1460.062	1428.445	1470.648	1436.614	1384.103	1387.927	1406.755	1393.573	1389.512	1358.569
128	1372.511	1514.923	1460.871	1434.423	1465.101	1411.083	1451.619	1437.973	1394.756	1404.452	1406.979	1367.456	1358.035	1342.627
129	1388.825	1508.852	1499.863	1459.428	1455.826	1423.560	1453.535	1459.652	1412.141	1427.040	1390.592	1382.853	1342.266	1362.179
130	1381.414	1517.514	1472.310	1429.997	1460.812	1421.194	1459.474	1457.073	1393.090	1410.672	1394.373	1381.989	1358.660	1371.521
131	1349.137	1504.294	1471.996	1455.353	1461.250	1436.966	1480.044	1454.083	1388.074	1425.586	1412.034	1394.671	1380.524	1383.810
132	1340.965	1526.986	1470.473	1454.322	1460.390	1435.453	1457.783	1475.688	1397.281	1411.115	1409.968	1398.576	1379.499	1395.654
133	1358.704	1512.512	1480.680	1433.839	1451.492	1424.799	1456.755	1466.316	1415.348	1403.120	1386.898	1397.926	1367.526	1379.535
134	1361.398	1537.758	1486.362	1429.047	1470.975	1438.969	1460.807	1472.023	1430.062	1417.221	1403.000	1404.880	1364.955	1364.061
135	1368.624	1532.714	1491.067	1427.383	1474.564	1429.410	1460.618	1466.421	1420.943	1416.165	1411.761	1404.465	1358.396	1362.412
136	1375.335	1520.021	1499.367	1417.406	1479.324	1414.531	1459.628	1443.701	1427.913	1413.521	1387.068	1377.291	1371.029	1385.356
137	1372.570	1525.590	1487.616	1446.763	1472.945	1424.908	1467.716	1460.277	1411.141	1432.165	1407.726	1376.939	1384.637	1379.487
138	1357.480	1530.436	1461.546	1453.124	1471.603	1434.031	1467.035	1478.266	1406.720	1426.427	1405.246	1403.610	1387.666	1374.631
139	1363.616	1516.655	1486.573	1429.227	1470.625	1421.458	1473.849	1462.881	1422.204	1411.861	1392.361	1416.730	1385.457	1372.751
140	1386.366	1534.556	1505.094	1459.992	1475.448	1413.685	1475.879	1456.390	1433.599	1433.251	1411.779	1393.785	1396.411	1383.176
141	1354.552	1525.006	1500.047	1451.145	1467.468	1432.558	1464.273	1472.784	1418.061	1431.690	1419.792	1400.982	1379.584	1368.405
142	1358.963	1539.302	1497.311	1435.396	1451.576	1442.982	1475.379	1479.953	1410.646	1435.746	1428.173	1408.672	1392.473	1373.649
143	1377.068	1536.915	1486.726	1443.926	1468.872	1463.174	1487.960	1477.205	1426.215	1448.628	1423.368	1404.197	1381.918	1390.287
144	1365.773	1555.846	1495.701	1441.928	1482.099	1431.712	1470.181	1469.497	1422.962	1424.720	1421.057	1390.842	1402.194	1378.976
145	1373.445	1532.932	1494.557	1448.636	1483.784	1442.698	1462.402	1476.040	1426.391	1433.838	1432.125	1424.299	1401.904	1379.143
146	1390.239	1532.256	1488.409	1451.428	1477.565	1460.218	1486.551	1474.833	1423.948	1423.731	1426.801	1426.480	1398.197	1379.233
