 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
164	171.112	171.112	181.682	182.611	176.956	177.788	176.530	174.341	178.168	175.123	173.180	179.739	173.955	172.458
165	175.406	175.406	178.194	176.454	175.031	175.175	176.467	178.234	178.084	174.506	177.122	175.998	171.561	177.991
166	178.444	178.444	180.702	170.383	176.787	174.623	175.838	178.465	179.370	172.567	177.552	174.428	173.347	175.100
167	173.538	173.538	177.018	175.568	175.593	178.385	175.681	174.380	182.304	176.389	175.698	177.485	174.947	176.054
168	173.355	173.355	178.388	176.904	174.588	178.368	180.258	177.588	176.537	175.583	172.185	178.020	176.813	173.919
169	173.737	173.737	179.302	175.816	174.866	176.739	176.906	179.643	181.788	182.583	173.270	176.562	173.292	171.252
170	174.430	174.430	176.623	179.285	175.045	174.372	175.328	179.459	177.583	176.948	175.610	175.516	173.310	175.385
171	174.240	174.240	178.017	170.779	173.942	172.520	174.360	179.088	177.150	178.045	181.768	181.663	176.368	173.119
172	170.748	170.748	174.991	179.641	182.860	174.894	177.205	182.395	180.591	176.737	177.057	180.009	176.755	178.522
173	170.685	170.685	178.012	179.134	177.526	176.882	176.801	174.760	177.846	174.115	174.200	176.200	174.749	174.533
174	171.893	171.893	177.235	173.726	180.314	176.151	175.395	182.102	179.309	175.920	175.020	182.869	172.834	171.660
175	175.011	175.011	178.608	176.587	173.909	175.241	180.028	177.179	173.595	178.924	176.992	180.440	178.306	174.239
176	173.574	173.574	179.972	175.809	176.048	177.350	177.470	173.585	168.773	180.282	181.876	179.387	179.045	171.121
177	174.279	174.279	174.125	176.307	176.412	182.723	176.917	176.674	173.577	179.318	177.887	177.844	183.281	173.816
178	171.143	171.143	176.839	179.085	174.726	181.582	176.173	173.616	174.089	176.072	178.586	173.772	178.837	173.631
179	170.950	170.950	180.440	177.488	179.830	175.830	172.061	175.970	178.730	175.679	176.365	181.308	177.397	176.030
180	176.834	176.834	173.246	178.014	179.803	175.880	170.449	176.708	171.452	178.905	177.926	177.320	173.729	174.122
181	170.325	170.325	171.040	175.811	182.047	174.382	172.219	176.068	176.738	177.144	174.526	175.165	176.286	170.870
182	172.931	172.931	174.930	182.140	180.317	176.913	173.781	175.102	177.424	178.274	174.762	172.056	179.805	171.853
183	170.485	170.485	175.599	177.991	175.816	175.105	178.183	182.453	174.609	173.973	178.279	174.984	179.111	174.199
184	169.930	169.930	179.570	177.388	180.237	182.516	172.882	179.332	173.259	174.284	177.248	180.024	170.160	175.425
185	177.968	177.968	170.984	174.491	173.715	176.772	172.308	175.174	173.015	177.836	176.376	178.983	175.850	172.878
186	180.033	180.033	173.141	173.264	169.451	170.565	173.944	169.908	170.028	174.600	177.032	174.508	173.341	172.045
187	174.703	174.703	173.867	172.193	172.030	175.666	175.973	173.757	174.757	173.053	176.742	181.128	172.706	169.542
188	172.284	172.284	179.795	174.463	175.718	176.080	174.601	177.129	169.556	174.486	173.585	179.372	173.686	172.231
189	173.675	173.675	184.005	171.599	176.624	172.652	173.188	176.713	175.730	175.695	175.074	180.632	175.435	174.234
190	174.257	174.257	175.560	176.290	176.397	173.855	182.893	176.677	175.936	173.407	173.532	178.085	175.590	176.794
191	170.798	170.798	174.430	177.092	175.489	175.438	185.168	181.016	175.249	177.837	179.119	175.827	176.437	173.099
192	175.730	175.730	174.199	178.098	176.960	179.667	182.094	175.694	178.358	175.828	177.994	180.259	178.241	173.538
193	173.353	173.353	177.219	181.683	180.726	177.756	170.531	183.316	172.121	174.934	181.707	176.075	180.927	175.184
194	171.029	171.029	172.127	176.381	177.572	175.949	173.799	178.527	175.639	171.742	174.548	179.724	176.302	171.758
195	167.797	167.797	174.245	176.428	174.585	177.473	173.192	175.772	178.223	176.503	181.156	175.198	179.551	170.367
196	171.020	171.020	185.477	180.247	175.924	178.519	172.257	175.476	177.812	175.380	175.137	177.168	174.883	172.703
197	170.872	170.872	179.750	172.202	172.536	176.459	173.402	177.061	174.667	176.615	178.135	177.970	176.525	169.161
198	175.400	175.400	178.717	176.411	181.102	171.880	172.482	175.372	175.320	175.484	177.156	180.193	170.706	172.749
199	174.416	174.416	176.263	174.401	178.368	172.730	174.084	174.230	177.590	177.662	176.251	177.274	173.383	175.210
200	171.288	171.288	175.906	175.806	178.083	178.377	178.400	175.432	174.901	172.409	174.456	172.099	176.607	178.015
201	173.598	173.598	173.194	176.747	179.064	176.968	175.505	177.499	173.106	177.429	175.977	177.914	175.910	172.498
202	176.725	176.725	174.026	178.379	174.872	178.354	174.154	169.750	175.732	173.831	174.344	179.286	172.884	172.794
203	170.034	170.034	174.818	173.269	180.728	173.214	172.724	170.930	180.436	175.723	174.751	174.339	173.211	171.498
204	174.629	174.629	173.146	177.649	176.133	174.385	176.671	174.626	175.792	174.210	175.948	184.331	173.762	174.005
205	169.138	169.138	171.015	173.491	176.616	174.215	173.193	175.692	177.670	177.365	177.436	176.587	178.236	175.511
206	171.404	171.404	176.034	173.555	177.458	175.318	173.908	179.863	172.939	181.318	178.754	176.194	172.243	174.071
207	170.157	170.157	174.933	170.722	173.599	178.008	178.125	179.976	177.836	175.522	173.451	177.454	175.301	170.610
208	165.199	165.199	174.968	171.746	177.537	173.918	170.364	177.198	172.701	175.621	175.031	178.391	175.063	173.063
209	168.558	168.558	174.799	174.198	173.043	178.470	168.955	172.938	176.926	179.164	179.223	175.726	181.523	166.571
210	173.645	173.645	177.512	175.896	173.502	176.250	173.700	177.473	179.751	179.088	173.072	177.635	177.671	169.779
211	172.559	172.559	182.569	173.879	176.922	169.557	176.501	178.494	172.100	176.997	181.114	175.574	175.340	172.190
212	174.744	174.744	179.724	172.802	174.885	170.465	179.676	175.489	176.403	174.368	180.803	172.764	171.544	175.056
213	172.362	172.362	174.186	176.188	174.148	167.731	177.532	181.716	174.488	173.710	176.086	177.395	174.795	175.226
214	170.055	170.055	170.706	171.182	174.720	175.351	176.946	178.242	175.523	172.667	174.255	171.695	171.546	172.992
215	174.784	174.784	172.109	174.978	175.031	176.717	174.634	174.336	177.738	178.935	176.960	172.828	179.029	171.711
216	169.495	169.495	176.590	175.642	176.917	173.546	176.475	170.374	175.539	174.900	180.002	179.494	176.671	170.889
217	171.526	171.526	177.447	174.478	180.409	179.439	173.651	174.322	171.270	176.353	178.179	182.513	178.333	173.551
218	173.553	173.553	174.514	173.046	171.378	178.919	173.355	176.276	173.320	172.217	179.114	176.477	171.770	174.419
219	177.696	177.696	173.421	174.066	173.603	172.907	177.392	177.571	175.441	179.307	174.490	175.398	172.271	176.812
220	172.389	172.389	169.377	169.943	176.190	169.878	169.468	172.098	176.926	170.562	175.284	170.455	171.319	176.736
221	170.783	170.783	170.420	177.000	180.262	175.434	169.223	174.198	176.819	177.696	174.356	176.605	173.776	171.632
222	174.108	174.108	172.979	175.100	174.107	178.044	172.241	178.805	177.184	175.612	175.435	174.946	174.928	172.332
223	174.224	174.224	172.269	169.011	174.722	175.762	174.437	178.251	178.145	172.426	174.960	180.193	174.666	174.867
224	177.092	177.092	169.843	171.628	181.143	176.047	172.736	177.206	172.875	174.589	177.131	178.371	177.118	173.683
225	171.020	171.020	175.301	178.331	173.532	173.981	171.388	173.942	177.434	172.424	178.482	178.700	175.810	176.123
226	171.385	171.385	178.026	178.036	179.516	171.684	178.061	173.573	178.522	173.123	176.162	175.587	176.650	173.986
227	170.111	170.111	175.705	174.632	176.359	171.889	180.374	176.375	174.993	176.107	175.759	177.955	179.208	172.981
228	174.243	174.243	172.690	173.473	173.673	170.573	173.758	176.984	177.408	176.178	179.997	178.741	170.249	173.039
229	173.287	173.287	176.810	172.293	175.157	177.939	174.294	175.242	174.350	178.066	178.138	180.981	172.908	173.748
230	173.347	173.347	177.565	170.480	175.286	177.118	173.853	174.623	176.444	178.992	177.058	179.950	179.357	178.055
231	165.689	165.689	168.182	174.586	173.783	174.814	173.156	178.587	176.111	174.612	175.469	171.124	168.002	175.736
