 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
92	299.768	299.768	313.876	318.267	316.643	319.827	322.246	310.588	330.552	334.072	327.781	357.939	339.972	324.408	331.847	323.993	307.039	340.532	344.904
93	284.412	284.412	313.223	315.808	306.438	327.397	322.135	308.224	323.577	324.068	329.838	332.816	328.227	325.059	324.832	322.166	321.613	329.396	335.159
94	282.519	282.519	306.789	313.099	305.982	317.360	316.608	309.976	319.468	327.217	334.567	337.018	331.947	311.838	318.581	322.435	324.414	321.988	319.278
95	286.045	286.045	301.007	310.623	302.867	309.570	316.691	296.873	324.285	320.517	324.489	333.161	318.271	321.038	318.691	318.421	310.617	328.596	325.527
96	283.078	283.078	300.305	302.848	300.146	304.042	308.081	303.587	310.146	312.973	307.270	323.486	319.204	306.161	311.120	297.056	306.612	315.520	327.668
97	282.298	282.298	302.747	295.253	298.593	307.099	300.953	296.743	302.611	304.913	309.800	317.045	321.801	300.003	323.396	303.194	307.509	319.038	316.114
98	290.286	290.286	299.544	299.648	295.092	304.665	285.206	293.810	306.248	305.904	300.597	320.623	320.038	312.468	313.193	320.450	302.502	310.607	311.467
99	288.548	288.548	286.229	282.682	286.404	305.565	305.495	281.444	311.586	316.577	303.154	329.285	321.544	285.541	315.861	306.527	300.075	305.838	308.875
100	276.219	276.219	289.650	295.563	287.726	298.744	293.324	290.557	311.023	306.672	299.599	321.029	318.135	303.975	303.099	309.148	293.938	307.073	308.509
101	278.494	278.494	277.224	300.082	289.936	293.273	287.832	291.841	310.860	293.337	300.648	313.701	296.428	296.330	313.113	299.092	291.973	300.868	322.414
102	268.325	268.325	277.472	292.173	291.947	292.354	293.390	281.978	304.087	301.584	297.409	322.144	297.454	284.654	314.006	286.263	289.417	306.002	311.019
103	271.418	271.418	283.346	290.430	289.871	293.123	302.044	269.229	296.834	302.765	287.457	319.598	299.653	288.175	296.566	283.326	282.776	299.794	297.204
104	267.807	267.807	281.282	280.799	288.615	282.630	292.873	272.414	298.713	285.780	290.193	304.417	294.370	285.466	286.941	289.300	294.117	283.241	291.015
105	279.084	279.084	272.320	287.592	280.154	274.657	286.217	273.852	294.245	287.040	289.175	301.095	296.151	298.690	288.787	286.170	292.538	282.539	289.894
106	269.767	269.767	275.168	275.576	286.777	268.589	277.977	278.544	290.801	284.452	285.824	292.087	280.055	288.246	287.197	271.482	277.388	279.834	285.946
107	262.085	262.085	266.806	271.816	281.350	272.682	277.707	279.450	277.672	284.390	279.970	278.075	288.684	279.827	294.279	282.504	282.629	282.005	280.199
108	265.249	265.249	264.757	278.785	275.614	270.566	275.216	266.975	285.717	278.578	282.929	289.789	284.174	276.055	280.533	292.480	278.419	286.849	284.013
109	260.790	260.790	276.769	277.936	282.053	279.329	277.514	258.969	279.782	284.843	272.613	287.954	279.372	270.273	276.878	283.823	273.147	280.167	274.789
110	260.752	260.752	266.676	271.373	269.195	273.097	276.322	266.049	275.210	279.790	276.829	286.683	271.181	276.709	280.967	265.836	273.064	278.681	273.792
111	264.025	264.025	263.514	269.720	269.187	267.887	265.333	262.896	278.702	276.471	267.692	291.456	274.131	274.067	278.293	272.625	262.983	263.473	274.725
112	266.591	266.591	263.535	272.650	270.086	272.882	268.453	264.118	280.636	268.439	270.331	282.325	269.581	268.631	275.151	271.421	264.892	267.944	265.538
113	250.230	250.230	261.810	267.937	256.630	270.839	262.250	263.378	264.382	282.491	277.869	282.469	273.560	270.365	271.970	266.119	271.844	270.505	269.184
114	245.154	245.154	260.218	264.261	262.512	268.731	259.427	257.010	261.302	275.490	276.526	272.009	264.904	254.377	274.303	264.060	263.597	261.985	268.584
115	247.753	247.753	253.042	261.220	252.912	266.269	263.173	254.557	267.932	266.724	263.900	271.674	273.968	257.194	259.820	260.420	262.199	254.733	257.258
116	245.764	245.764	254.909	262.025	257.815	267.992	262.428	252.722	263.260	268.048	259.117	276.673	267.403	252.687	246.708	258.339	256.304	251.436	257.862
117	249.685	249.685	250.244	254.402	256.224	266.278	259.845	251.319	259.289	266.186	258.773	260.942	263.545	250.314	251.880	254.002	257.858	260.712	253.022
118	239.217	239.217	250.287	255.641	256.415	256.238	257.888	253.203	259.968	251.002	263.891	264.846	258.965	257.049	256.312	258.602	253.022	259.344	256.447
119	242.480	242.480	246.755	257.688	248.246	249.823	259.723	242.937	260.246	253.927	262.265	268.164	262.854	250.878	253.948	257.292	245.720	253.640	259.765
120	244.057	244.057	253.576	248.998	248.822	256.441	256.014	253.655	254.492	243.150	256.372	263.683	255.918	249.651	250.295	260.072	251.329	253.674	249.449
121	238.940	238.940	248.714	238.174	249.552	250.987	260.457	247.914	246.059	254.352	247.674	263.185	256.113	254.062	252.533	244.007	242.402	243.102	242.119
122	233.895	233.895	239.716	243.851	240.189	250.046	258.977	238.622	247.304	248.399	249.816	251.968	249.701	255.776	252.499	244.633	241.516	246.743	249.760
