 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
129	489.238	492.309	490.372	489.575	480.495	483.464	475.739	497.799	478.790	482.812	482.852	485.974	481.564	493.159	491.067
130	484.686	497.575	494.092	490.591	487.839	497.255	482.137	499.257	483.462	481.156	486.395	482.006	496.587	492.127	484.062
131	490.870	488.471	493.904	494.363	483.550	493.871	497.342	497.226	483.983	495.894	483.628	488.641	498.520	492.677	488.603
132	499.764	493.993	497.891	494.861	491.726	486.258	496.536	486.579	489.847	490.769	489.555	481.761	488.916	503.786	490.216
133	488.366	488.341	507.833	490.490	489.341	494.063	492.348	484.079	498.366	496.153	496.273	480.714	486.134	491.301	496.826
134	489.655	496.413	498.202	489.021	493.699	504.374	496.915	492.172	503.853	483.329	483.021	479.672	488.906	487.307	499.694
135	481.842	498.153	487.114	492.804	497.328	494.363	491.697	492.646	505.612	472.672	480.126	486.364	493.590	492.046	493.125
136	489.433	498.635	498.099	503.010	501.917	500.263	502.526	489.090	498.680	489.224	492.694	490.677	493.733	475.542	487.930
137	499.988	487.815	499.615	505.909	495.471	497.736	503.974	483.055	498.963	485.568	490.943	516.406	494.102	492.543	492.367
138	496.003	495.824	505.200	498.336	493.607	483.320	499.208	492.610	505.150	497.743	495.080	496.280	491.840	504.064	496.443
139	504.714	501.488	502.016	499.348	493.314	503.069	502.664	502.558	500.071	492.541	485.162	492.214	501.678	506.772	497.130
140	500.950	510.887	505.935	503.285	507.094	498.106	500.718	509.971	502.274	498.398	495.179	488.338	500.807	495.515	501.449
141	492.286	503.200	488.618	510.885	500.528	503.535	514.831	514.824	504.978	502.447	494.262	485.035	502.778	499.276	496.644
142	498.868	504.880	509.824	505.354	500.456	492.612	502.542	510.174	497.282	492.430	497.012	503.430	489.295	494.684	494.607
143	498.823	509.414	515.500	503.258	491.158	495.921	507.821	497.834	508.780	493.220	489.036	500.954	495.843	489.966	497.036
144	497.782	511.762	519.463	508.068	489.551	496.777	503.318	500.737	500.413	493.549	500.374	508.795	500.514	513.117	498.263
145	495.677	503.727	503.028	511.407	495.422	491.243	499.291	506.396	489.600	493.476	499.411	492.469	484.438	497.824	489.370
146	492.557	516.337	507.239	506.903	513.991	505.186	502.919	502.340	508.162	501.065	511.385	489.993	500.327	496.667	502.609
147	502.883	518.182	515.504	503.135	508.886	514.450	502.699	513.075	508.124	506.140	498.603	506.773	504.482	496.075	506.273
148	492.901	514.223	508.640	503.167	512.101	506.967	511.463	505.171	498.657	503.107	499.278	506.586	513.056	510.856	502.149
149	507.641	516.276	520.473	521.947	505.375	516.106	516.020	512.052	514.859	497.487	516.473	508.700	514.758	508.710	494.136
150	499.770	518.401	522.787	514.168	499.412	521.084	505.442	514.215	506.987	493.591	505.211	509.965	516.213	505.447	502.759
151	495.750	518.929	525.145	510.763	506.797	509.443	515.974	513.227	513.166	496.978	508.737	493.749	510.502	511.754	507.934
152	500.867	517.463	519.527	520.103	515.203	514.278	508.808	513.690	500.223	512.301	511.150	510.033	511.500	511.873	509.700
153	493.245	522.914	526.720	511.834	516.827	522.903	510.616	515.726	515.742	504.511	497.560	506.544	503.393	507.188	517.572
154	506.826	535.075	530.837	539.784	509.103	518.467	519.820	506.196	521.495	514.573	512.594	515.625	520.554	511.623	517.558
155	512.937	535.010	531.653	530.496	515.608	507.669	504.638	516.892	514.076	509.561	505.844	504.169	513.107	524.011	525.277
156	521.619	544.683	536.256	528.520	531.015	517.562	521.247	510.715	515.723	513.636	507.183	514.747	506.975	509.442	515.215
157	517.393	541.491	534.249	534.549	538.530	525.814	507.939	503.998	521.726	513.703	524.820	509.177	516.743	522.877	508.978
158	510.284	541.595	540.067	524.817	523.375	520.776	514.423	513.251	532.570	509.171	526.939	517.976	512.453	511.385	507.686
159	516.347	550.851	552.287	530.010	527.016	526.687	522.493	515.616	525.859	517.329	521.755	515.047	512.283	515.304	518.125
160	515.716	554.056	548.686	525.651	535.748	527.638	525.254	526.806	520.447	533.435	519.173	524.688	512.324	521.637	523.229
161	525.850	562.051	553.065	527.647	542.976	527.234	521.011	537.299	524.999	533.379	514.035	524.780	521.554	521.557	523.338
162	521.516	542.697	546.719	548.269	535.615	530.977	539.399	529.540	534.557	530.043	536.001	529.347	529.820	520.406	521.655
163	524.972	557.417	547.970	552.902	531.341	535.813	545.136	537.432	525.928	520.234	524.683	534.273	522.779	526.294	525.917
164	523.625	567.583	558.638	552.516	549.107	536.048	542.291	547.890	537.165	526.950	534.770	534.876	521.470	516.411	532.153
165	527.634	575.928	577.367	562.205	544.647	545.492	538.419	539.327	541.393	523.261	539.357	526.785	533.255	520.019	533.304
166	542.247	566.363	570.960	546.105	539.358	548.950	526.114	540.783	540.337	518.707	527.839	535.368	542.801	533.472	532.722
167	528.958	568.204	580.077	560.062	549.092	555.305	536.441	549.183	536.622	534.244	538.091	533.956	535.209	541.221	525.643
168	539.201	570.760	580.166	562.104	558.293	551.471	537.166	530.697	541.313	535.165	527.889	530.603	544.041	535.150	539.444
169	546.007	567.743	597.730	572.159	551.075	549.182	545.073	537.606	537.275	533.909	547.630	532.731	542.405	536.454	537.127
170	538.948	581.203	598.145	578.789	563.062	554.753	563.637	552.629	534.658	544.534	547.126	543.692	544.714	538.267	551.156
171	557.229	594.671	603.729	581.425	563.888	560.434	559.719	554.744	531.897	547.743	541.028	542.886	540.563	534.394	546.221
172	558.742	594.020	605.888	588.277	561.592	567.738	563.434	553.900	543.031	549.540	541.089	541.303	553.129	537.723	548.875
173	554.846	599.794	597.927	598.519	575.370	566.808	576.573	569.680	551.130	560.668	545.578	545.212	545.388	546.009	553.053
174	553.805	608.239	616.418	593.720	577.908	569.734	575.182	568.197	554.740	556.198	551.283	533.626	554.708	562.289	541.570
175	547.166	617.632	632.999	615.314	568.971	585.906	572.791	568.221	566.956	557.729	565.190	546.762	546.719	556.862	545.597
176	559.417	609.418	631.233	625.155	573.988	586.667	555.840	562.215	566.538	554.536	548.677	554.980	559.823	555.300	559.834
177	557.675	620.964	643.095	622.190	577.100	596.152	574.818	573.304	569.120	557.173	556.604	565.232	555.216	551.245	563.187
178	560.238	646.539	655.299	620.377	588.983	606.027	583.490	580.650	574.306	568.743	563.849	566.274	569.673	565.841	556.815
179	568.416	645.724	647.169	635.226	585.346	585.478	579.808	590.420	578.400	565.762	574.885	562.043	567.094	567.831	569.590
