 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
166	542.578	542.578	540.275	550.335	530.534	535.090	529.249	535.469	541.360	528.502	526.547	526.143
167	563.553	563.553	549.828	550.101	528.083	529.111	533.802	522.459	532.644	524.903	526.398	522.419
168	553.118	553.118	542.481	537.557	533.103	531.210	526.025	538.520	521.123	523.131	513.609	526.510
169	554.756	554.756	550.084	538.991	535.984	531.299	554.250	530.906	506.296	515.409	513.801	519.814
170	549.844	549.844	544.049	546.921	535.139	537.239	540.005	536.428	525.978	506.484	509.366	505.776
171	550.926	550.926	549.968	541.252	537.734	531.732	537.555	535.504	523.516	516.329	511.997	528.556
172	554.581	554.581	542.132	529.290	528.589	527.419	538.452	536.475	517.971	524.938	500.955	521.343
173	565.480	565.480	535.514	518.839	530.772	524.617	529.721	534.195	512.624	510.206	504.940	520.305
174	558.952	558.952	534.287	533.772	540.376	525.441	542.645	529.355	518.378	507.619	504.139	522.971
175	552.073	552.073	535.945	521.286	530.561	526.745	536.341	523.337	512.416	512.092	520.495	520.724
176	554.331	554.331	534.104	527.959	526.995	522.290	523.853	538.822	515.443	519.613	501.096	520.508
177	543.866	543.866	529.294	519.085	528.299	524.443	521.017	538.497	508.807	518.588	491.252	522.876
178	535.916	535.916	519.293	519.105	531.247	532.343	530.791	532.861	515.182	515.302	506.422	512.803
179	528.565	528.565	536.629	525.484	523.385	534.207	533.196	520.118	512.223	516.615	519.386	498.508
180	524.192	524.192	528.964	530.267	506.062	518.261	519.231	515.648	499.549	507.121	500.018	515.639
181	542.379	542.379	528.054	531.872	522.818	523.362	525.660	519.532	515.068	518.596	514.944	515.694
182	540.482	540.482	532.840	528.533	527.081	521.271	521.657	523.246	523.629	510.995	523.588	511.199
183	547.361	547.361	533.426	523.734	520.895	532.592	526.575	526.124	513.595	508.095	515.800	511.022
184	550.579	550.579	525.801	538.321	528.297	512.112	526.456	522.449	516.354	510.556	523.704	495.075
185	558.300	558.300	539.554	539.210	530.233	522.889	515.932	525.349	516.508	516.884	521.168	507.342
186	559.652	559.652	554.984	542.105	538.593	531.199	527.381	521.619	525.119	532.636	519.249	502.134
187	562.640	562.640	538.273	541.239	536.653	536.754	530.316	526.716	527.202	520.202	535.045	507.293
188	565.364	565.364	549.137	544.128	541.566	523.831	531.414	522.331	539.111	525.560	519.076	513.013
189	557.870	557.870	539.816	549.597	532.145	523.934	529.574	523.094	540.063	522.630	520.208	513.778
190	563.403	563.403	543.736	553.988	535.095	528.587	532.136	520.073	534.624	527.620	525.021	517.414
191	567.408	567.408	553.982	553.016	530.112	540.184	541.336	531.228	531.956	519.104	522.694	523.684
192	565.039	565.039	555.607	556.732	531.872	537.662	538.947	531.528	537.531	523.156	528.769	529.622
193	564.126	564.126	561.897	562.599	535.178	549.062	534.242	545.612	534.022	527.808	537.114	533.878
194	568.935	568.935	558.829	554.592	546.801	529.273	544.000	537.956	522.211	534.665	532.985	537.292
195	572.161	572.161	554.379	543.941	549.172	537.997	549.670	541.949	524.535	535.144	522.356	528.062
196	565.195	565.195	552.843	558.909	549.969	549.208	544.754	535.679	542.908	528.586	529.745	519.478
197	569.955	569.955	554.427	560.115	544.100	550.518	555.054	542.213	541.940	535.533	530.947	529.295
