 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
108	605.041	605.041	580.985	567.245	581.673	576.803	594.926	578.923	583.008	585.776	589.118	568.259	580.687
109	595.118	595.118	571.391	570.920	569.878	586.382	597.014	580.199	567.424	594.669	594.815	576.965	576.786
110	593.667	593.667	566.157	567.965	570.475	581.304	588.561	561.717	578.082	580.042	583.078	572.264	571.212
111	589.924	589.924	559.512	547.442	575.793	581.611	576.574	577.684	579.348	573.730	580.740	569.878	565.701
112	599.140	599.140	563.803	562.259	562.733	580.387	582.631	572.160	574.625	580.989	573.013	560.479	557.948
113	576.177	576.177	545.700	569.710	564.804	561.686	585.447	580.674	577.189	580.262	564.534	568.792	562.640
114	574.177	574.177	558.463	565.221	569.184	573.643	572.255	561.617	568.002	599.286	570.271	571.027	573.847
115	565.528	565.528	543.487	557.797	562.869	566.537	576.331	572.502	565.991	579.446	570.224	569.042	567.253
116	569.911	569.911	542.161	553.810	563.899	570.010	579.466	554.264	554.559	568.903	559.431	558.619	550.355
117	561.255	561.255	546.694	551.130	559.040	560.684	566.258	569.598	573.917	555.299	571.921	557.211	561.624
118	573.493	573.493	543.941	553.592	569.329	563.247	562.714	564.150	578.625	576.175	567.268	562.070	552.016
119	566.716	566.716	545.592	552.500	548.501	575.446	562.835	556.872	550.843	569.784	570.065	554.942	578.006
120	584.354	584.354	542.487	533.891	542.453	560.636	562.129	555.819	550.604	571.451	560.774	551.849	543.104
121	564.086	564.086	548.593	555.462	559.273	558.516	559.736	552.724	559.784	564.886	556.594	542.054	553.333
122	553.134	553.134	546.735	553.189	545.783	552.125	549.359	567.845	551.700	562.880	556.851	543.248	553.549
123	568.484	568.484	536.316	535.477	547.819	551.398	562.351	554.513	549.857	559.864	557.467	539.306	542.730
124	565.228	565.228	537.920	535.069	544.899	545.911	568.329	554.021	551.277	555.691	560.978	553.733	553.349
125	555.727	555.727	536.577	538.636	566.482	553.513	553.935	542.603	553.950	554.869	555.712	544.517	552.933
126	552.304	552.304	529.993	528.837	546.478	566.419	564.499	544.360	561.548	550.953	547.304	542.440	537.977
127	569.953	569.953	528.658	541.944	542.222	547.314	558.137	554.071	542.228	550.981	550.716	547.387	542.114
128	531.927	531.927	526.083	547.964	528.306	551.212	556.695	542.877	548.325	553.694	551.412	550.088	540.042
129	540.168	540.168	509.424	535.803	536.289	545.888	548.271	551.589	547.806	542.043	556.349	544.825	537.218
130	539.417	539.417	530.488	535.015	536.131	540.805	564.454	536.338	560.963	558.243	545.834	547.692	529.144
131	539.068	539.068	529.852	534.125	553.142	550.755	555.634	544.016	552.856	543.927	550.427	539.594	541.689
132	556.147	556.147	541.599	526.845	543.147	550.255	565.221	537.992	550.131	556.453	537.108	534.208	534.095
133	546.427	546.427	519.769	533.657	531.157	547.623	542.843	550.445	539.370	533.753	553.643	534.923	533.633
134	542.369	542.369	516.974	525.385	514.668	547.608	553.454	558.758	540.809	550.250	542.550	521.735	548.927
135	537.804	537.804	528.726	519.011	538.279	532.673	540.153	545.207	534.347	545.884	550.008	530.167	547.067
136	541.074	541.074	519.889	505.100	533.391	542.469	553.615	540.557	555.565	539.910	537.740	529.526	530.277
137	544.905	544.905	506.672	532.199	532.521	549.024	542.592	542.310	542.962	542.916	561.448	548.369	530.592
138	523.837	523.837	520.869	516.192	524.536	553.904	535.671	537.349	555.520	535.004	546.377	532.223	538.470
139	544.642	544.642	511.673	529.527	532.667	556.427	542.316	535.169	560.297	525.076	536.784	537.967	527.856
140	531.432	531.432	533.152	525.627	529.969	530.120	545.617	530.372	546.180	542.699	528.622	538.375	531.868
141	517.759	517.759	509.993	514.341	520.019	523.049	531.519	534.811	537.863	525.582	522.943	543.536	541.519
142	527.183	527.183	528.145	510.598	531.623	510.470	537.085	532.831	532.514	531.199	542.386	535.577	523.750
143	521.371	521.371	507.957	520.059	519.752	525.891	544.963	528.270	530.914	539.287	528.333	527.649	517.033
144	525.114	525.114	515.089	511.530	510.582	523.070	525.659	543.025	539.444	548.096	526.619	541.430	527.727
145	513.886	513.886	512.534	503.986	521.674	536.350	528.415	530.033	538.317	532.793	543.390	529.442	535.201
146	542.707	542.707	516.453	516.647	525.970	527.198	542.106	529.036	535.395	526.864	520.780	525.003	525.933
147	532.090	532.090	509.756	525.581	531.449	526.805	521.119	524.943	533.122	539.950	524.983	519.449	518.552
148	512.405	512.405	501.834	519.209	518.040	525.168	527.610	532.593	524.563	538.324	538.853	533.773	521.673
149	518.999	518.999	513.920	527.365	531.042	524.163	514.023	546.627	535.877	531.022	516.183	514.100	526.645
150	524.608	524.608	507.477	511.284	517.219	523.666	534.882	527.316	542.614	528.619	533.943	540.683	530.027
151	507.727	507.727	503.296	511.283	512.015	522.586	533.034	519.658	536.061	531.886	527.341	527.783	526.497
152	508.988	508.988	501.570	519.512	513.184	524.568	511.591	508.873	533.446	539.772	530.549	528.496	513.745
153	516.452	516.452	495.319	502.944	523.812	524.498	525.107	522.191	536.190	552.749	527.218	529.498	531.729
154	510.644	510.644	490.186	501.666	520.832	528.157	513.162	527.820	535.353	530.601	519.136	512.747	515.330
155	513.096	513.096	488.722	511.052	515.081	523.601	519.597	518.002	534.604	518.550	517.726	519.287	529.109
156	514.791	514.791	508.405	507.617	503.451	512.702	530.846	517.713	528.437	526.804	525.569	513.710	513.261
157	512.910	512.910	512.664	518.323	512.857	518.870	520.716	529.123	524.104	525.142	529.640	527.450	529.909
158	520.532	520.532	493.762	489.882	521.452	514.265	523.247	513.654	524.431	523.752	508.961	519.922	515.128
159	508.191	508.191	497.725	498.479	502.323	511.718	519.383	518.625	522.474	516.741	536.168	516.563	522.143
160	513.526	513.526	497.863	504.799	516.214	524.550	521.504	515.691	514.922	517.796	516.210	502.543	510.050
161	497.901	497.901	509.255	505.063	517.693	513.702	512.179	525.268	525.176	509.895	515.158	522.253	518.703
162	518.307	518.307	491.127	497.812	501.394	504.542	517.172	516.539	526.514	524.798	516.512	512.154	504.809
163	513.832	513.832	496.822	496.695	523.075	498.178	525.177	517.129	531.597	522.187	519.233	527.365	516.320
164	514.565	514.565	485.650	502.087	511.568	510.059	518.238	527.719	518.888	511.142	520.742	519.104	511.655
165	503.929	503.929	494.836	489.991	511.143	530.713	524.369	513.329	506.157	529.369	529.478	524.518	504.236
166	515.327	515.327	505.306	501.937	519.658	499.289	517.578	510.715	517.362	522.586	524.889	526.050	517.333
