 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
165	175.822	179.130	176.550	175.827	170.840	179.693	179.593	176.085	180.050	180.861	179.707	178.483	178.414	166.293	169.863
166	175.727	174.949	178.025	178.210	169.015	176.151	175.965	172.762	174.594	176.327	174.415	175.873	178.590	170.852	166.699
167	175.580	178.894	180.452	181.188	165.828	176.183	175.329	174.994	175.662	178.953	175.865	177.591	179.201	171.124	168.977
168	171.808	175.815	177.568	181.755	173.424	180.602	179.386	175.987	182.632	178.371	176.753	175.046	178.399	171.655	169.612
169	174.577	178.979	177.719	181.331	170.486	172.646	175.100	180.751	177.938	175.483	177.969	177.143	178.987	174.303	170.877
170	175.729	179.206	175.555	177.854	176.050	174.251	179.576	177.890	177.482	175.740	180.773	176.846	177.053	173.813	176.269
171	173.515	176.907	175.885	176.386	170.758	175.010	176.534	175.214	180.593	176.014	179.967	173.875	178.502	170.635	171.424
172	176.088	177.655	174.831	173.090	171.728	180.772	174.634	174.494	177.743	176.378	176.628	173.989	175.910	173.240	169.736
173	171.652	179.585	176.059	173.877	178.562	174.355	174.649	174.085	180.017	175.846	181.482	176.768	174.188	173.936	171.332
174	172.621	176.974	169.746	174.661	174.928	171.657	177.795	175.885	179.796	178.498	181.469	180.628	169.377	169.042	175.660
175	176.482	180.668	173.507	175.067	168.970	175.117	175.521	172.746	174.407	177.816	179.609	181.358	176.293	173.142	172.156
176	179.718	176.499	171.654	174.256	172.523	180.631	175.315	173.888	176.873	174.903	176.545	179.917	179.341	176.844	175.071
177	177.286	174.176	170.687	169.327	172.664	175.773	180.741	175.756	175.779	174.377	176.915	178.304	179.440	178.543	171.434
