 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9
267	168.055	168.055	166.097	169.352	169.147	164.358	169.872	169.793	171.352
268	164.223	164.223	166.974	163.457	169.136	164.959	169.535	167.353	165.848
269	162.308	162.308	167.307	166.132	170.682	168.956	163.590	166.192	167.746
270	163.754	163.754	162.503	163.543	170.270	166.768	166.058	168.183	160.964
271	164.926	164.926	162.659	169.509	166.326	169.752	168.905	171.230	168.565
272	169.314	169.314	169.577	166.733	168.826	165.493	171.831	168.927	171.256
273	166.080	166.080	170.788	167.871	167.718	167.177	168.705	163.679	167.005
274	168.109	168.109	164.293	163.808	166.354	167.363	167.161	169.214	164.995
275	161.629	161.629	159.706	168.388	169.545	170.182	166.401	165.450	168.565
276	163.606	163.606	165.598	169.611	167.294	168.568	166.204	165.488	166.558
277	164.545	164.545	166.237	170.122	165.964	162.092	168.183	168.237	167.155
278	161.713	161.713	166.365	162.985	167.467	165.047	168.911	161.579	167.181
279	165.877	165.877	167.049	165.740	166.496	168.213	168.157	169.372	165.381
280	162.561	162.561	160.999	168.164	169.024	166.609	169.165	161.642	166.297
281	162.101	162.101	165.716	170.515	168.498	163.713	167.659	165.782	170.373
282	165.538	165.538	167.617	164.929	169.126	162.781	167.542	167.690	166.794
283	166.398	166.398	163.366	160.219	168.343	169.001	170.503	166.303	162.713
284	164.002	164.002	165.581	167.004	171.806	169.734	168.016	168.030	165.109
285	161.763	161.763	160.194	163.169	168.055	165.826	165.693	166.131	161.206
286	165.138	165.138	161.636	163.499	169.502	165.853	168.183	167.030	163.137
287	162.904	162.904	160.645	167.208	163.154	168.052	168.444	166.903	163.057
288	164.625	164.625	164.850	168.739	163.456	167.573	168.904	166.202	164.628
289	166.385	166.385	165.557	168.731	167.984	166.492	167.536	172.615	166.592
290	165.591	165.591	165.248	168.487	162.161	166.366	163.426	169.257	167.713
291	167.149	167.149	166.042	166.831	168.518	166.882	162.655	167.540	167.543
292	162.837	162.837	168.045	167.475	168.783	167.339	163.242	165.038	164.871
293	161.723	161.723	170.142	168.861	176.721	167.367	164.455	170.953	162.897
294	164.888	164.888	169.188	163.846	165.552	160.446	165.254	166.903	161.802
295	162.661	162.661	165.143	163.554	163.742	165.922	166.131	167.527	167.550
296	162.293	162.293	160.379	162.436	167.673	168.964	165.435	169.025	168.512
297	164.501	164.501	164.915	168.203	165.426	170.725	165.199	168.096	168.769
298	164.245	164.245	165.782	163.515	165.641	164.015	162.157	169.554	166.600
299	160.266	160.266	166.834	167.116	166.256	169.709	161.632	167.319	163.677
300	161.918	161.918	165.034	163.302	164.627	166.019	156.310	163.228	169.391
301	160.259	160.259	164.150	167.573	160.443	165.063	168.509	163.373	162.775
302	163.915	163.915	168.014	162.845	165.993	166.654	163.979	167.439	157.587
303	165.846	165.846	161.807	171.245	162.125	163.435	165.701	168.530	163.057
304	167.208	167.208	164.226	168.200	168.496	165.414	168.046	165.079	165.925
305	159.092	159.092	163.543	163.158	169.790	164.850	166.964	166.343	166.344
306	158.028	158.028	164.742	160.780	167.911	166.045	169.441	165.848	168.115
307	160.574	160.574	163.864	165.295	169.869	165.762	163.301	166.007	168.531
308	162.075	162.075	168.884	165.362	164.034	165.388	166.168	164.630	166.719
309	166.653	166.653	168.674	166.848	165.454	165.181	165.512	164.688	167.093
310	161.989	161.989	162.908	165.014	166.431	161.955	166.804	165.595	166.680
311	163.109	163.109	163.826	169.219	163.422	163.126	167.363	163.950	169.417
