,CellName,CompNum,substrate & drug,SurroundingThickness,EChadwick
880,21-01-21_M2_P1_C3-2,21,20um fibronectin discs & doxycyclin,495.054482477576,27785.5342430207
924,21-01-21_M2_P1_C8,2,20um fibronectin discs & doxycyclin,774.149071608992,887.620679491038
922,21-01-21_M2_P1_C7,10,20um fibronectin discs & doxycyclin,340.718974702952,3716.7813228757705
921,21-01-21_M2_P1_C7,9,20um fibronectin discs & doxycyclin,325.694402404824,4415.63867859646
920,21-01-21_M2_P1_C7,8,20um fibronectin discs & doxycyclin,356.906910223849,3085.9066485988105
919,21-01-21_M2_P1_C7,7,20um fibronectin discs & doxycyclin,355.195824121764,8554.157682345642
918,21-01-21_M2_P1_C7,6,20um fibronectin discs & doxycyclin,347.167357888056,4220.26387994441
917,21-01-21_M2_P1_C7,5,20um fibronectin discs & doxycyclin,336.97647393104097,4986.20641373757
916,21-01-21_M2_P1_C7,4,20um fibronectin discs & doxycyclin,374.91837898948194,3837.8970053931703
915,21-01-21_M2_P1_C7,3,20um fibronectin discs & doxycyclin,343.32850003354304,4130.60760902381
923,21-01-21_M2_P1_C8,1,20um fibronectin discs & doxycyclin,879.5353936025219,1334.86643252186
878,21-01-21_M2_P1_C3-2,19,20um fibronectin discs & doxycyclin,533.80451873777,63043.297291874806
906,21-01-21_M2_P1_C6,6,20um fibronectin discs & doxycyclin,240.92246240271598,10225.721536719
875,21-01-21_M2_P1_C3-2,16,20um fibronectin discs & doxycyclin,443.110355340285,84514.477885185
839,21-01-21_M2_P1_C3-1,2,20um fibronectin discs & doxycyclin,146.72910838293,35245.6748626618
838,21-01-21_M2_P1_C3-1,1,20um fibronectin discs & doxycyclin,158.403080407244,25160.951903365
834,21-01-21_M2_P1_C11,7,20um fibronectin discs & doxycyclin,120.002495856514,39211.9870275284
833,21-01-21_M2_P1_C11,6,20um fibronectin discs & doxycyclin,124.89990396686599,35170.2298051125
832,21-01-21_M2_P1_C11,5,20um fibronectin discs & doxycyclin,109.68594918900999,20470.8198603558
831,21-01-21_M2_P1_C11,4,20um fibronectin discs & doxycyclin,99.9215020730053,37264.012825159596
829,21-01-21_M2_P1_C11,2,20um fibronectin discs & doxycyclin,173.508392874645,21933.2157754367
840,21-01-21_M2_P1_C3-1,3,20um fibronectin discs & doxycyclin,148.33813039997102,29347.4721787469
827,21-01-21_M2_P1_C2,12,20um fibronectin discs & doxycyclin,201.36616366380798,6065.636057795839
825,21-01-21_M2_P1_C2,10,20um fibronectin discs & doxycyclin,237.91998026492402,8645.968466861801
824,21-01-21_M2_P1_C2,9,20um fibronectin discs & doxycyclin,194.269682160859,14876.6496411199
823,21-01-21_M2_P1_C2,8,20um fibronectin discs & doxycyclin,183.529668267364,17349.3279464214
822,21-01-21_M2_P1_C2,7,20um fibronectin discs & doxycyclin,171.426958665324,23662.1406976293
821,21-01-21_M2_P1_C2,6,20um fibronectin discs & doxycyclin,177.638235142415,13172.6415844117
877,21-01-21_M2_P1_C3-2,18,20um fibronectin discs & doxycyclin,484.957176675153,62718.343244113
817,21-01-21_M2_P1_C2,2,20um fibronectin discs & doxycyclin,171.878465042494,24339.807675622298
826,21-01-21_M2_P1_C2,11,20um fibronectin discs & doxycyclin,350.253351641009,3047.58910984151
845,21-01-21_M2_P1_C3-1,8,20um fibronectin discs & doxycyclin,156.491316900226,21876.2478722228
818,21-01-21_M2_P1_C2,3,20um fibronectin discs & doxycyclin,163.487417078315,36080.988727731696
859,21-01-21_M2_P1_C3-1,22,20um fibronectin discs & doxycyclin,148.155282861194,36198.218833942
873,21-01-21_M2_P1_C3-2,14,20um fibronectin discs & doxycyclin,446.76047818742205,40893.1616349192
866,21-01-21_M2_P1_C3-2,7,20um fibronectin discs & doxycyclin,491.71092049750297,21592.7782260877
858,21-01-21_M2_P1_C3-1,21,20um fibronectin discs & doxycyclin,143.531860978044,32227.2346231638
