 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
224	170.228	170.228	168.952	168.195	165.969	172.101	171.485	170.816	167.443	167.476	167.507	177.704
225	163.144	163.144	169.982	163.617	167.848	168.524	169.559	169.241	166.996	168.651	166.034	173.557
226	165.427	165.427	163.777	171.442	166.365	164.706	165.169	168.341	165.542	161.606	164.727	175.308
227	164.490	164.490	163.524	167.351	167.990	168.304	167.472	164.672	167.237	162.192	167.753	176.036
228	158.921	158.921	164.311	169.773	169.667	170.041	167.068	166.817	167.513	166.236	165.963	177.464
229	165.176	165.176	165.917	165.900	168.978	171.716	171.766	169.650	168.128	167.308	163.967	173.584
230	166.306	166.306	168.833	169.979	174.066	168.953	172.821	166.307	164.538	169.134	166.881	176.967
231	162.344	162.344	168.254	171.614	168.546	166.254	170.819	165.856	167.966	162.008	162.450	178.932
232	168.167	168.167	164.757	164.202	166.054	166.447	170.763	164.500	168.987	168.297	166.489	180.469
233	167.132	167.132	167.415	166.175	165.743	168.854	168.842	170.123	164.910	168.380	161.756	173.269
234	164.030	164.030	165.060	166.078	164.615	165.235	168.208	168.878	163.984	164.736	165.449	179.987
235	165.904	165.904	162.644	164.365	163.797	168.837	169.392	163.552	165.079	171.687	167.780	178.395
236	161.413	161.413	162.270	162.532	166.317	168.425	162.801	166.443	166.388	168.129	164.871	173.378
237	166.346	166.346	162.959	162.263	167.526	167.214	163.812	162.408	163.485	169.690	165.686	175.615
238	162.714	162.714	168.105	164.582	165.185	170.698	167.513	164.853	161.782	168.148	164.822	176.692
239	164.247	164.247	164.473	158.662	168.595	166.968	165.434	165.245	164.367	161.059	165.361	175.610
240	163.956	163.956	160.784	161.662	163.647	165.208	166.845	169.038	164.201	162.851	163.635	176.054
241	159.357	159.357	163.628	169.404	166.727	169.150	163.294	164.008	165.135	162.911	162.955	179.201
242	159.587	159.587	165.338	167.725	166.835	165.364	162.928	168.757	166.039	163.941	164.649	173.990
243	164.698	164.698	159.449	165.178	165.968	163.811	169.451	164.854	164.726	165.293	164.258	180.627
244	165.721	165.721	166.362	163.517	168.893	166.589	166.657	170.293	164.113	163.337	163.640	180.438
245	164.966	164.966	166.284	167.862	166.538	163.649	166.797	167.487	163.292	163.754	170.711	179.849
246	164.443	164.443	166.241	164.635	167.143	164.816	168.077	168.322	173.525	165.244	171.465	172.097
247	162.667	162.667	168.647	167.566	166.745	166.631	162.521	168.740	165.461	169.997	167.812	174.862
248	164.364	164.364	163.669	164.998	166.607	168.573	169.178	161.787	170.325	169.109	167.729	176.971
249	166.521	166.521	163.201	167.070	168.881	164.641	167.415	167.522	167.704	167.478	170.270	179.492
250	164.992	164.992	169.546	165.353	163.255	166.487	171.554	166.917	172.615	168.851	167.754	185.248
251	162.298	162.298	168.952	169.034	166.282	164.471	171.758	168.727	168.558	165.311	168.819	179.714
252	160.564	160.564	166.807	166.322	159.751	167.787	167.445	169.089	167.336	168.740	165.061	183.779
253	156.579	156.579	165.896	164.688	165.472	166.984	165.161	167.469	170.550	167.268	168.693	179.412
254	163.211	163.211	166.747	168.232	166.588	165.940	169.007	169.869	168.037	167.259	167.196	177.565
255	161.965	161.965	167.799	168.066	164.164	164.217	168.253	167.368	163.931	174.136	166.496	175.568
256	164.989	164.989	162.685	169.888	161.547	166.672	165.987	166.681	164.859	169.751	167.301	175.333
257	167.969	167.969	168.023	169.414	161.525	165.874	169.406	168.025	166.036	162.951	163.716	182.288
258	168.394	168.394	167.422	166.456	163.931	166.937	167.094	164.753	166.134	167.927	167.161	180.870
259	165.110	165.110	164.498	164.129	165.558	163.948	163.222	162.315	164.009	164.669	166.007	176.395
260	163.268	163.268	169.306	169.526	161.903	170.521	167.707	166.048	165.087	164.163	161.777	179.249
261	163.117	163.117	165.911	167.179	164.608	167.503	167.872	167.631	166.769	164.595	160.670	174.622
