 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
126	501.608	501.608	474.785	493.075	487.927	486.745	488.442	490.782	491.184	486.750	478.232	499.933	489.354
127	494.345	494.345	483.221	490.984	492.110	477.802	489.322	498.554	498.053	481.155	495.538	501.341	482.184
128	490.128	490.128	479.789	487.890	498.830	474.655	488.646	488.940	500.506	488.347	484.175	501.730	482.583
129	496.543	496.543	479.366	491.593	498.036	475.151	491.989	500.988	502.674	493.512	488.385	502.540	492.107
130	497.485	497.485	478.520	493.190	494.846	478.113	498.162	496.983	491.978	499.109	498.031	504.519	492.977
131	500.696	500.696	476.917	489.133	498.760	495.424	501.454	501.372	480.633	492.298	502.025	493.506	501.538
132	504.123	504.123	489.069	486.304	486.015	496.051	495.969	491.743	491.954	495.832	504.071	497.236	505.895
133	489.566	489.566	481.782	482.882	489.025	493.657	486.142	489.523	498.847	489.197	493.553	500.686	499.803
134	474.350	474.350	468.969	487.870	486.315	482.695	488.201	489.646	494.535	491.712	500.927	502.093	503.021
135	481.871	481.871	471.174	484.873	484.289	492.553	484.516	508.339	491.696	499.080	501.341	500.969	497.703
136	486.211	486.211	478.871	488.505	482.744	499.768	490.862	492.335	500.560	505.164	495.044	508.784	498.207
137	489.923	489.923	481.917	488.834	490.550	495.395	502.994	496.560	504.129	498.214	502.126	499.488	491.062
138	488.657	488.657	486.847	487.594	484.671	494.860	489.484	503.069	502.323	497.702	498.116	500.388	507.937
139	479.251	479.251	479.455	481.253	495.263	482.688	483.373	493.942	496.058	486.774	493.453	500.426	507.571
140	479.567	479.567	488.534	488.953	489.664	491.564	487.166	493.979	509.387	506.818	507.412	498.918	510.513
141	482.891	482.891	481.541	500.583	485.385	495.519	488.356	500.946	503.263	500.544	497.054	492.265	505.976
142	476.700	476.700	487.459	505.194	488.436	500.285	493.122	494.135	494.406	511.926	483.819	508.938	492.181
143	480.803	480.803	491.641	486.540	495.763	492.626	496.512	504.319	490.970	508.709	498.161	511.977	514.311
144	481.053	481.053	498.897	500.049	492.836	487.808	499.442	506.511	504.765	505.082	487.860	505.521	485.341
145	479.589	479.589	486.984	498.891	483.561	483.356	497.710	507.616	496.667	500.655	484.790	497.642	482.486
146	480.024	480.024	493.312	490.018	481.647	483.154	495.280	509.431	493.226	497.595	486.243	500.336	493.476
147	481.673	481.673	487.552	487.248	490.529	467.723	486.724	502.140	499.105	500.344	487.072	507.763	483.647
148	489.504	489.504	486.364	480.811	489.488	482.046	494.471	502.725	496.104	489.155	483.609	489.602	497.298
149	477.332	477.332	481.457	486.225	489.867	484.497	500.566	498.626	493.021	486.867	486.446	496.893	490.123
150	474.368	474.368	487.052	481.167	475.980	492.083	501.254	507.447	500.648	496.056	495.312	482.665	500.860
151	481.890	481.890	473.240	488.801	476.351	493.310	499.296	504.581	506.003	492.606	494.076	486.733	500.607
152	484.551	484.551	481.490	479.098	481.958	491.193	499.011	502.486	502.251	486.619	474.598	489.207	497.494
153	476.444	476.444	486.272	479.195	486.827	495.778	497.931	509.005	516.899	500.144	489.073	490.389	496.402
154	469.955	469.955	470.939	487.525	487.254	488.386	492.483	503.445	513.558	497.746	492.571	497.067	491.238
155	479.387	479.387	481.856	486.680	476.020	484.300	515.922	498.274	503.352	510.552	500.966	485.956	479.731
156	482.495	482.495	487.385	494.498	476.737	495.601	505.997	496.558	503.282	493.414	483.128	481.190	482.720
157	481.315	481.315	491.703	507.592	498.919	495.390	498.808	506.624	501.953	493.313	485.359	490.397	486.632
158	488.892	488.892	486.688	495.424	506.507	495.654	513.848	507.556	515.438	502.759	487.801	484.658	471.986
159	480.839	480.839	486.683	511.028	507.193	503.095	498.572	499.617	511.638	500.703	501.388	478.795	483.525
160	487.408	487.408	490.627	513.896	510.173	505.775	511.536	486.603	501.657	500.436	497.146	469.437	479.954
161	495.883	495.883	489.762	504.430	526.551	510.284	503.058	488.086	508.068	493.710	493.997	479.423	484.738
162	505.632	505.632	498.329	517.486	518.498	508.389	495.526	494.634	510.060	499.918	479.741	481.535	486.105
163	505.609	505.609	496.630	508.052	509.965	503.463	501.408	487.273	502.423	489.688	479.008	479.722	475.663
164	500.268	500.268	488.514	520.725	511.454	526.058	499.524	497.907	505.762	485.717	480.759	462.523	482.894
165	504.103	504.103	502.458	507.659	514.803	519.201	502.817	485.732	510.013	492.747	473.848	473.074	479.536
166	511.427	511.427	496.431	514.836	508.744	518.926	493.874	480.383	506.309	502.193	477.324	466.382	473.020
167	499.121	499.121	499.004	514.615	514.643	502.384	497.492	478.505	497.592	495.569	485.838	463.008	475.906
168	496.570	496.570	504.512	512.754	512.859	494.155	506.541	484.027	507.940	488.063	484.960	462.975	473.684
169	517.372	517.372	505.504	514.959	510.423	496.095	491.680	485.363	499.895	480.150	472.274	461.960	470.118
170	522.644	522.644	497.224	517.243	497.719	499.374	499.376	486.573	494.279	487.571	471.165	470.131	473.672
171	508.619	508.619	492.234	508.604	497.449	503.551	477.431	473.391	499.336	484.722	463.583	464.575	472.047
172	515.921	515.921	511.858	502.260	495.832	510.129	483.920	479.193	495.053	485.433	477.620	465.327	471.971
173	505.699	505.699	511.894	495.083	502.795	496.146	486.571	473.021	475.528	493.158	466.270	452.418	464.602
174	510.106	510.106	508.509	494.567	503.490	485.965	481.037	480.189	473.825	480.037	462.202	455.698	465.915
175	504.916	504.916	502.824	499.309	499.799	478.198	478.824	473.069	477.093	470.839	467.348	461.471	468.512
176	502.294	502.294	485.148	495.249	480.399	483.983	480.154	465.443	482.377	466.413	456.693	474.258	463.276
177	494.041	494.041	490.823	495.351	483.439	477.405	466.866	470.559	477.837	463.707	462.564	463.122	459.021
178	508.235	508.235	479.299	489.679	487.594	470.033	459.554	466.828	458.543	456.207	457.343	455.760	454.098
179	485.018	485.018	480.589	486.427	476.562	477.344	466.719	460.675	463.501	463.977	465.126	462.922	450.780
180	478.532	478.532	467.149	485.119	472.290	469.420	460.565	459.186	468.899	468.186	452.563	451.610	458.130
181	481.319	481.319	475.470	480.802	473.814	478.841	464.263	460.484	475.205	462.342	459.618	465.586	463.891
182	471.496	471.496	475.945	477.835	484.059	477.687	451.680	467.861	465.251	455.858	465.453	461.809	453.020
183	479.875	479.875	476.658	472.853	470.837	469.953	459.089	452.839	466.353	467.342	459.723	453.450	456.290
184	479.405	479.405	482.889	467.686	478.821	460.511	461.578	467.226	472.660	468.368	454.737	465.039	454.626
185	480.269	480.269	464.447	469.124	464.730	456.708	471.210	461.388	467.910	473.648	452.441	470.499	453.925
186	467.561	467.561	465.451	461.359	461.294	458.685	461.337	449.670	463.686	466.294	447.959	454.426	443.226
187	465.955	465.955	469.596	461.975	462.608	459.840	459.759	458.814	458.436	470.529	457.545	459.703	447.666
188	475.275	475.275	469.141	459.880	453.087	462.109	459.738	467.118	461.075	462.098	456.417	462.836	463.215
189	466.362	466.362	468.570	455.233	458.592	469.327	459.048	466.174	461.440	464.104	461.906	472.967	454.028
190	452.228	452.228	458.332	454.557	453.447	466.632	456.903	461.681	470.217	462.971	457.806	455.800	459.821
191	463.599	463.599	458.352	463.976	454.099	462.978	455.287	471.160	468.392	456.984	478.917	453.681	455.768
192	469.026	469.026	457.423	455.895	456.829	464.585	461.888	456.304	467.670	460.095	453.036	452.936	458.836
193	463.568	463.568	459.734	460.800	448.299	460.929	457.768	469.651	473.044	469.899	469.223	471.013	463.954
194	463.442	463.442	452.631	460.105	446.498	456.150	466.363	465.935	469.777	458.671	458.303	473.287	461.417
195	451.669	451.669	441.818	458.802	455.921	456.801	470.432	463.017	468.922	457.098	458.630	451.329	478.080
196	455.050	455.050	459.341	451.561	451.615	455.029	455.778	458.386	470.896	456.514	470.202	454.075	461.296
197	458.214	458.214	451.784	459.757	450.129	443.990	456.092	461.455	476.557	465.984	476.028	452.563	458.156
198	451.901	451.901	449.797	454.686	444.776	463.886	468.407	471.917	476.194	466.129	475.049	460.664	461.341
199	442.922	442.922	447.722	458.492	456.104	461.714	472.603	461.288	467.354	466.254	462.103	458.732	459.974
200	457.199	457.199	438.286	453.602	453.151	458.770	467.218	459.556	470.052	464.483	471.617	456.397	458.426
201	454.746	454.746	445.150	459.472	451.999	457.672	460.757	454.712	475.759	473.781	464.391	467.780	459.044
202	455.378	455.378	447.089	457.775	469.566	459.850	467.465	459.477	460.239	460.711	458.436	451.370	457.794
203	459.343	459.343	453.830	455.383	462.809	462.078	458.244	461.869	478.266	470.615	468.016	454.909	462.355
204	463.361	463.361	453.734	453.328	463.460	456.001	459.973	470.509	465.859	467.596	455.097	471.198	466.057
205	462.886	462.886	452.717	455.080	470.607	458.062	461.607	471.313	457.728	472.147	449.248	458.870	458.530
206	448.890	448.890	446.251	460.465	457.836	455.395	459.386	461.027	457.248	457.684	451.185	461.584	464.361
207	463.606	463.606	446.099	453.645	458.583	463.222	458.669	464.234	454.281	456.967	452.993	455.097	454.256
208	467.544	467.544	442.507	457.358	458.999	462.360	467.152	465.640	474.268	465.927	455.597	451.424	451.706
209	463.449	463.449	453.335	464.463	463.114	466.713	463.510	463.271	458.261	467.360	453.144	457.909	453.972
210	463.032	463.032	454.024	473.153	464.656	455.367	465.228	470.488	463.099	456.811	453.634	452.115	458.943
211	460.804	460.804	452.799	463.444	458.659	455.218	460.900	456.022	459.058	453.304	455.416	456.540	458.852
212	463.911	463.911	452.955	461.593	457.410	450.747	464.620	461.949	465.768	456.521	450.838	448.568	452.620
213	456.666	456.666	451.815	462.410	457.977	459.189	455.165	452.529	468.222	463.574	451.204	456.377	461.406
214	458.827	458.827	452.538	450.980	455.395	461.996	459.122	453.355	458.234	458.735	451.264	462.319	462.612
215	445.903	445.903	443.063	459.400	458.965	450.697	456.319	466.469	449.517	456.983	452.599	451.011	456.291
216	455.921	455.921	447.684	463.779	449.725	450.186	460.530	464.587	449.254	456.758	462.292	459.654	452.941
217	464.327	464.327	446.606	457.851	456.536	462.931	453.376	449.928	457.814	458.614	449.961	459.980	445.147
218	447.711	447.711	449.775	453.078	458.612	452.232	449.248	455.108	460.980	453.988	453.699	459.918	444.022
219	450.537	450.537	447.499	461.884	447.659	452.645	451.660	452.525	454.913	456.919	452.705	454.141	449.109
220	458.298	458.298	448.258	455.756	447.760	460.732	449.039	450.990	453.839	457.874	448.998	445.744	467.209
221	452.949	452.949	438.204	453.375	459.291	452.617	449.726	457.345	454.369	457.469	450.219	449.275	453.446
222	459.899	459.899	451.240	459.065	453.622	453.136	446.464	462.086	451.638	456.160	455.691	456.048	456.233
223	460.493	460.493	454.750	450.845	448.332	453.326	458.574	459.659	457.944	463.302	452.377	451.463	448.003
224	453.328	453.328	437.623	460.409	453.767	447.798	459.421	464.901	458.024	466.433	456.785	445.949	449.109
225	452.859	452.859	443.391	444.203	456.628	464.933	454.207	454.801	459.284	462.007	445.489	439.217	453.495
226	455.934	455.934	440.095	454.499	463.834	444.323	449.017	459.693	453.482	460.245	452.348	442.693	455.240
227	446.779	446.779	442.875	451.192	455.367	451.567	450.819	456.715	454.396	458.007	453.716	445.321	442.976
228	448.433	448.433	450.804	449.996	464.404	453.815	461.738	459.196	450.410	453.063	454.383	447.339	453.230
229	448.811	448.811	452.101	448.876	460.287	451.690	463.157	454.361	457.514	458.150	450.188	457.033	452.968
230	446.380	446.380	451.449	446.050	461.098	451.925	456.117	460.745	454.924	456.766	451.726	456.652	460.786
231	455.287	455.287	444.708	447.940	446.758	447.688	460.121	451.917	454.223	463.876	444.054	459.786	452.378
232	448.413	448.413	441.831	456.777	455.259	454.094	458.027	452.491	468.652	456.919	457.940	444.801	456.390
233	457.464	457.464	451.036	451.680	449.047	444.343	452.721	460.068	455.370	450.406	460.291	438.898	455.290
234	447.611	447.611	445.837	453.136	453.362	450.387	456.877	455.524	454.432	453.461	454.879	454.178	448.950
235	447.947	447.947	451.515	446.402	444.983	458.680	452.152	467.910	456.896	459.383	454.105	451.761	446.925
236	458.541	458.541	436.573	447.347	446.714	448.242	451.816	457.041	462.717	464.779	455.405	451.943	446.274
237	455.193	455.193	448.081	445.687	443.751	443.958	453.197	452.650	467.504	451.306	458.909	459.824	451.812
238	446.281	446.281	452.560	455.397	441.712	450.118	447.234	448.723	457.780	459.013	452.585	457.465	456.078
239	447.997	447.997	443.120	456.167	445.688	447.342	458.651	451.539	459.253	461.778	445.379	448.343	444.070
240	462.815	462.815	436.676	436.829	457.463	451.098	456.287	450.805	460.156	445.767	451.484	451.920	447.070
241	456.274	456.274	441.937	440.992	453.029	449.544	448.363	447.092	459.550	453.317	453.149	453.011	451.405
242	445.641	445.641	446.896	446.438	443.573	450.590	451.808	452.736	452.027	447.756	450.731	456.841	444.378
243	437.799	437.799	459.158	447.137	451.841	455.670	450.660	447.808	464.275	453.253	452.626	458.447	459.602
244	448.608	448.608	455.990	447.873	458.550	457.865	455.466	437.968	457.680	447.139	448.674	449.039	455.689
245	451.898	451.898	443.322	437.641	452.567	444.736	456.006	444.314	458.333	450.154	451.227	452.300	448.948
246	447.780	447.780	433.074	446.773	449.833	443.306	452.795	459.715	450.521	453.568	460.801	443.370	455.382
247	441.331	441.331	431.714	455.148	455.101	441.972	453.358	455.903	447.910	454.967	448.390	448.381	446.705
248	453.981	453.981	441.252	443.209	447.968	452.155	462.377	449.501	459.460	447.656	453.887	444.245	449.529
249	438.143	438.143	436.245	452.908	453.566	460.911	457.856	452.991	456.251	453.813	446.825	440.128	451.434
