 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14
122	1371.464	1525.938	1487.150	1439.510	1447.796	1429.217	1446.823	1422.487	1395.179	1389.260	1397.640	1381.900	1354.311	1378.327
123	1370.985	1539.701	1476.597	1438.757	1451.063	1416.842	1475.019	1423.577	1420.379	1397.143	1400.259	1353.135	1377.140	1384.479
124	1365.619	1543.529	1470.854	1426.979	1461.793	1415.743	1477.807	1448.670	1405.915	1428.158	1390.786	1394.120	1382.989	1364.654
125	1346.969	1497.618	1460.639	1428.011	1454.117	1419.271	1449.701	1450.092	1391.110	1414.083	1383.834	1389.623	1373.464	1360.623
126	1355.315	1513.133	1458.896	1422.885	1450.465	1416.403	1464.944	1450.964	1388.792	1400.113	1407.386	1387.019	1382.662	1379.535
127	1350.160	1518.874	1479.883	1424.292	1460.062	1428.445	1470.648	1436.614	1384.103	1387.927	1406.755	1393.573	1389.512	1358.569
128	1372.511	1514.923	1460.871	1434.423	1465.101	1411.083	1451.619	1437.973	1394.756	1404.452	1406.979	1367.456	1358.035	1342.627
129	1388.825	1508.852	1499.863	1459.428	1455.826	1423.560	1453.535	1459.652	1412.141	1427.040	1390.592	1382.853	1342.266	1362.179
130	1381.414	1517.514	1472.310	1429.997	1460.812	1421.194	1459.474	1457.073	1393.090	1410.672	1394.373	1381.989	1358.660	1371.521
131	1349.137	1504.294	1471.996	1455.353	1461.250	1436.966	1480.044	1454.083	1388.074	1425.586	1412.034	1394.671	1380.524	1383.810
132	1340.965	1526.986	1470.473	1454.322	1460.390	1435.453	1457.783	1475.688	1397.281	1411.115	1409.968	1398.576	1379.499	1395.654
133	1358.704	1512.512	1480.680	1433.839	1451.492	1424.799	1456.755	1466.316	1415.348	1403.120	1386.898	1397.926	1367.526	1379.535
134	1361.398	1537.758	1486.362	1429.047	1470.975	1438.969	1460.807	1472.023	1430.062	1417.221	1403.000	1404.880	1364.955	1364.061
135	1368.624	1532.714	1491.067	1427.383	1474.564	1429.410	1460.618	1466.421	1420.943	1416.165	1411.761	1404.465	1358.396	1362.412
136	1375.335	1520.021	1499.367	1417.406	1479.324	1414.531	1459.628	1443.701	1427.913	1413.521	1387.068	1377.291	1371.029	1385.356
137	1372.570	1525.590	1487.616	1446.763	1472.945	1424.908	1467.716	1460.277	1411.141	1432.165	1407.726	1376.939	1384.637	1379.487
138	1357.480	1530.436	1461.546	1453.124	1471.603	1434.031	1467.035	1478.266	1406.720	1426.427	1405.246	1403.610	1387.666	1374.631
139	1363.616	1516.655	1486.573	1429.227	1470.625	1421.458	1473.849	1462.881	1422.204	1411.861	1392.361	1416.730	1385.457	1372.751
140	1386.366	1534.556	1505.094	1459.992	1475.448	1413.685	1475.879	1456.390	1433.599	1433.251	1411.779	1393.785	1396.411	1383.176
141	1354.552	1525.006	1500.047	1451.145	1467.468	1432.558	1464.273	1472.784	1418.061	1431.690	1419.792	1400.982	1379.584	1368.405
142	1358.963	1539.302	1497.311	1435.396	1451.576	1442.982	1475.379	1479.953	1410.646	1435.746	1428.173	1408.672	1392.473	1373.649
143	1377.068	1536.915	1486.726	1443.926	1468.872	1463.174	1487.960	1477.205	1426.215	1448.628	1423.368	1404.197	1381.918	1390.287
144	1365.773	1555.846	1495.701	1441.928	1482.099	1431.712	1470.181	1469.497	1422.962	1424.720	1421.057	1390.842	1402.194	1378.976
145	1373.445	1532.932	1494.557	1448.636	1483.784	1442.698	1462.402	1476.040	1426.391	1433.838	1432.125	1424.299	1401.904	1379.143
146	1390.239	1532.256	1488.409	1451.428	1477.565	1460.218	1486.551	1474.833	1423.948	1423.731	1426.801	1426.480	1398.197	1379.233
147	1391.387	1551.090	1498.947	1452.049	1474.788	1437.759	1485.400	1491.199	1431.937	1449.351	1442.481	1414.741	1383.684	1378.491
148	1378.870	1566.242	1505.177	1448.057	1491.257	1448.895	1484.701	1486.870	1421.015	1426.456	1422.755	1414.982	1400.419	1392.071
149	1368.841	1540.338	1473.680	1455.461	1457.474	1453.780	1470.989	1466.324	1418.565	1443.932	1417.823	1417.144	1406.991	1397.722
150	1394.778	1534.852	1492.431	1444.878	1482.645	1461.055	1474.113	1475.498	1434.968	1448.473	1443.564	1410.901	1408.288	1390.484
151	1398.648	1553.350	1513.744	1465.823	1480.530	1451.838	1464.926	1487.089	1419.251	1466.963	1447.603	1408.476	1420.186	1390.342
152	1390.182	1545.590	1522.264	1468.959	1473.417	1445.513	1475.857	1472.818	1430.326	1455.891	1435.396	1407.618	1426.103	1408.391
153	1385.204	1548.071	1534.177	1500.127	1479.915	1475.530	1491.934	1485.326	1444.921	1438.818	1419.272	1411.377	1412.991	1401.181
154	1375.477	1509.281	1519.166	1480.334	1472.789	1460.627	1473.121	1479.617	1444.330	1476.457	1439.029	1440.897	1406.019	1421.492
155	1391.861	1537.784	1495.980	1473.076	1482.019	1458.811	1494.629	1501.237	1443.230	1460.288	1451.827	1435.101	1407.409	1422.393
156	1406.349	1549.693	1518.257	1478.219	1500.361	1475.640	1498.343	1489.753	1439.051	1447.985	1433.293	1435.088	1396.771	1412.250
157	1381.138	1565.198	1527.247	1475.825	1472.694	1458.729	1484.858	1491.394	1442.090	1436.870	1440.312	1424.973	1425.882	1395.865
158	1394.278	1559.028	1545.299	1461.115	1506.377	1468.919	1510.755	1492.578	1447.014	1451.172	1440.801	1425.590	1414.889	1413.787
159	1411.127	1580.621	1526.805	1458.039	1531.522	1489.528	1496.408	1483.795	1452.652	1467.319	1451.629	1439.043	1403.840	1409.360
160	1394.029	1582.293	1532.864	1485.392	1530.037	1487.186	1524.095	1497.368	1466.331	1464.838	1451.181	1449.244	1424.385	1415.324
161	1389.934	1589.489	1527.349	1487.517	1516.333	1476.661	1537.630	1507.590	1461.075	1472.264	1453.403	1448.976	1438.926	1435.452
162	1409.878	1590.388	1533.992	1491.221	1534.390	1482.480	1512.832	1527.810	1468.238	1497.333	1459.053	1451.096	1417.686	1420.864
