 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
131	1311.173	1520.756	1507.951	1385.308	1355.593	1437.414	1563.208	1524.892	1508.157	1502.098	1478.888	1393.903	1410.811	1359.274	1356.178
132	1277.119	1513.330	1487.171	1361.509	1311.930	1433.576	1574.040	1502.721	1492.671	1474.192	1448.281	1385.575	1401.268	1348.365	1346.559
133	1242.127	1511.366	1441.435	1327.706	1277.255	1408.188	1512.078	1450.499	1454.410	1438.134	1416.655	1374.189	1393.932	1305.006	1323.482
134	1226.794	1507.793	1426.479	1294.662	1279.021	1399.188	1497.368	1432.811	1433.812	1426.022	1406.768	1344.664	1361.744	1264.061	1318.074
135	1198.828	1451.267	1395.534	1260.853	1266.549	1373.604	1462.114	1413.789	1390.946	1378.999	1366.921	1306.910	1339.609	1249.575	1273.920
136	1177.773	1436.405	1368.608	1232.092	1221.015	1319.504	1460.136	1373.097	1384.792	1373.598	1356.718	1258.593	1319.962	1213.529	1248.621
137	1179.294	1405.690	1334.521	1209.664	1209.146	1279.766	1433.357	1344.104	1343.489	1333.626	1339.900	1261.665	1301.303	1189.354	1218.357
138	1141.036	1372.461	1317.573	1207.494	1171.284	1270.416	1395.414	1308.204	1310.334	1304.469	1296.153	1228.629	1244.415	1177.654	1206.132
139	1131.470	1344.623	1273.045	1208.842	1167.012	1245.109	1387.962	1294.478	1285.236	1281.607	1287.466	1203.256	1207.131	1180.262	1190.467
140	1130.043	1306.349	1258.679	1178.139	1171.145	1228.442	1351.002	1292.393	1259.035	1269.488	1259.074	1172.394	1193.970	1137.475	1162.213
141	1106.281	1281.556	1222.821	1173.971	1138.511	1213.127	1337.996	1257.983	1247.602	1239.328	1231.036	1145.422	1166.388	1125.326	1165.544
142	1113.506	1269.360	1213.711	1163.368	1102.868	1215.913	1304.405	1214.050	1221.489	1217.231	1201.215	1146.557	1163.990	1124.656	1159.180
143	1098.341	1223.106	1197.354	1152.433	1089.763	1192.361	1295.542	1196.425	1200.888	1209.661	1178.361	1135.152	1144.897	1113.462	1110.929
144	1082.617	1209.965	1154.125	1133.491	1099.348	1149.181	1262.407	1195.085	1193.317	1195.894	1138.667	1123.431	1150.334	1100.555	1132.975
145	1065.003	1182.764	1116.530	1108.920	1083.512	1153.985	1261.649	1176.956	1200.792	1164.379	1142.762	1115.879	1113.987	1086.470	1133.530
146	1067.814	1168.080	1114.411	1079.569	1063.361	1157.572	1204.050	1160.846	1165.554	1156.976	1124.586	1118.993	1124.028	1071.139	1116.448
147	1064.987	1133.598	1096.391	1059.419	1040.668	1125.836	1199.526	1164.647	1143.042	1127.340	1121.036	1130.220	1112.962	1086.495	1113.443
148	1048.235	1124.745	1100.705	1054.671	1015.649	1103.026	1167.514	1127.554	1111.376	1126.859	1113.228	1106.889	1097.974	1088.317	1096.778
149	1012.153	1100.350	1093.749	1034.864	1022.493	1078.022	1152.958	1118.145	1114.791	1125.269	1112.886	1087.142	1087.427	1069.704	1079.991
150	1003.678	1098.214	1046.768	999.213	994.899	1083.002	1145.526	1116.395	1079.706	1102.213	1089.849	1091.903	1076.483	1039.871	1083.800
151	1023.682	1067.863	1027.802	1007.067	984.834	1056.712	1124.036	1076.448	1084.352	1092.666	1079.341	1081.150	1078.577	1053.996	1072.920
152	1023.346	1069.542	1027.099	988.905	962.258	1054.390	1080.346	1073.252	1046.150	1079.002	1069.105	1051.836	1079.129	1033.558	1066.224
153	1004.078	1038.327	1007.637	987.138	950.547	1030.464	1066.234	1064.915	1031.867	1053.106	1063.513	1054.276	1051.586	1038.941	1049.844
154	987.082	1020.480	988.734	961.244	954.900	1004.011	1066.890	1037.383	1012.715	1079.622	1044.080	1024.044	1056.037	1030.906	1052.835
155	968.501	990.165	989.694	944.486	935.567	980.114	1034.128	995.227	996.178	1037.556	1039.555	1010.316	1041.408	1022.751	1021.920
156	960.815	1002.790	995.542	952.015	948.365	983.518	1022.266	1017.727	1001.073	1017.307	1023.223	1020.950	1033.702	998.906	1040.896
157	972.915	956.432	969.549	923.875	910.565	973.843	1022.372	989.707	1019.975	1033.572	1017.520	1019.592	1001.467	1003.248	1002.140
