 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
75	452.453	452.453	435.419	418.652	456.710	462.725	437.485	426.105	460.336	480.722	498.994	509.647	484.319	489.163	478.227	489.231	484.677
76	458.306	458.306	434.240	420.312	436.206	444.353	430.165	415.621	453.870	479.659	507.403	502.306	473.239	502.248	468.487	485.869	486.119
77	445.643	445.643	451.235	419.157	429.871	436.871	429.101	422.879	440.787	467.506	493.585	473.008	485.273	491.081	459.627	482.921	481.156
78	450.821	450.821	428.901	423.129	411.751	448.940	417.362	407.848	431.316	452.768	471.664	482.593	460.722	478.856	450.109	468.479	480.910
79	441.279	441.279	418.999	431.664	431.068	424.544	412.671	402.768	436.942	449.449	476.293	472.614	462.698	472.371	446.755	461.843	465.298
80	439.293	439.293	429.242	415.171	431.507	418.629	415.347	406.180	436.092	458.686	461.441	473.058	458.848	473.885	449.226	456.534	453.738
81	427.919	427.919	417.735	420.545	413.162	418.867	398.565	407.250	424.384	449.004	455.064	458.104	477.870	471.425	443.951	458.779	440.751
82	426.241	426.241	415.690	400.105	403.291	424.351	403.980	394.465	412.783	445.026	447.623	451.631	452.898	460.266	424.906	453.091	427.318
83	414.122	414.122	409.261	384.132	405.260	425.577	399.897	390.050	409.499	428.772	455.133	444.851	449.022	445.693	438.113	442.283	454.219
84	404.729	404.729	409.455	387.652	400.593	421.848	383.874	392.855	411.878	427.609	457.466	440.991	432.464	444.171	434.022	435.981	443.988
85	424.980	424.980	396.598	394.717	391.976	407.343	400.403	391.139	414.673	421.173	447.802	433.472	441.356	436.037	423.568	438.475	435.611
86	412.573	412.573	387.811	390.647	401.133	392.433	394.244	384.890	393.018	428.881	423.241	422.942	429.633	435.633	411.626	429.561	427.704
87	402.327	402.327	394.545	384.687	390.441	391.324	386.764	373.975	400.659	413.377	423.386	416.573	424.275	429.427	421.525	425.421	428.983
88	403.163	403.163	389.966	383.306	393.680	401.764	387.703	372.770	390.629	411.047	433.755	411.943	418.381	421.761	418.333	419.861	416.413
89	393.718	393.718	388.425	374.474	378.294	386.024	376.306	361.546	388.608	399.536	420.860	423.806	421.123	420.863	411.782	418.656	411.660
90	392.898	392.898	388.902	365.332	382.815	385.057	371.717	367.734	386.911	396.516	423.995	424.574	421.033	406.960	393.130	399.613	405.366
91	398.075	398.075	384.019	370.750	377.134	390.257	369.848	358.808	379.482	391.139	414.269	405.720	419.488	396.330	393.448	408.210	403.731
92	387.392	387.392	377.331	384.464	374.154	384.041	368.130	361.989	374.170	386.675	398.093	392.565	395.324	405.698	383.050	393.131	384.051
93	374.415	374.415	381.667	359.639	376.360	378.294	373.396	352.283	375.376	382.832	405.611	394.429	416.770	398.250	387.443	398.650	396.003
94	390.132	390.132	376.789	356.916	377.614	376.860	355.256	352.726	378.816	372.773	392.528	406.965	415.102	393.673	374.483	385.044	395.161
95	378.148	378.148	370.838	363.063	371.503	374.551	365.653	357.947	369.413	372.098	396.255	389.758	385.077	395.999	370.235	382.188	376.509
96	379.976	379.976	370.468	365.814	365.782	373.603	350.926	359.307	379.276	378.992	395.064	387.456	388.607	384.896	367.692	373.389	381.118
97	381.125	381.125	377.013	362.711	362.411	371.695	361.694	347.933	365.696	368.721	380.515	379.503	396.540	382.389	373.698	373.811	380.452
98	353.403	353.403	349.417	351.362	358.439	359.728	347.150	350.014	364.252	366.696	381.810	377.569	371.608	379.009	362.549	381.119	374.908
99	367.203	367.203	356.391	345.610	357.819	353.325	347.574	347.914	355.410	348.877	384.859	369.414	377.741	379.239	356.795	368.688	375.966
100	352.391	352.391	356.201	333.328	344.231	362.665	348.108	342.573	354.295	351.536	369.522	363.347	372.126	379.975	356.985	360.038	367.817
101	346.016	346.016	353.367	344.956	351.469	350.624	346.841	338.124	351.372	349.247	365.685	371.157	372.988	360.097	343.955	355.941	373.767
102	356.833	356.833	347.393	334.802	351.904	355.968	349.957	336.430	343.359	352.938	359.980	354.482	367.153	367.755	344.126	345.178	366.287
103	353.449	353.449	335.738	335.059	354.133	354.073	337.408	332.684	340.631	352.475	367.807	360.823	353.884	356.992	336.101	346.260	374.726
104	340.849	340.849	322.464	335.852	347.472	349.264	334.688	332.521	346.092	344.371	362.305	363.761	365.559	350.711	337.702	350.774	362.227
105	345.876	345.876	335.898	329.886	347.087	348.013	328.744	336.481	330.910	345.913	346.521	343.152	357.599	341.518	340.836	344.376	353.592
106	334.729	334.729	324.478	321.958	343.721	337.937	326.425	323.591	332.600	341.143	336.383	356.996	360.962	339.744	336.506	333.279	340.290
107	321.271	321.271	330.324	318.336	338.007	328.593	322.505	320.488	322.550	328.751	343.057	345.717	355.474	346.519	332.882	338.635	341.671
108	325.550	325.550	349.022	319.631	323.396	332.234	310.367	317.406	338.310	329.758	340.309	341.522	341.184	339.893	327.202	330.262	350.354
109	335.525	335.525	333.261	319.220	325.204	330.343	320.393	318.582	333.317	339.709	339.558	334.472	343.810	342.260	321.161	343.140	337.733
110	325.668	325.668	326.858	314.074	325.425	321.181	327.062	319.029	328.908	313.415	333.179	336.348	330.304	325.188	322.771	331.667	341.920
111	320.172	320.172	333.186	317.376	334.998	318.278	314.132	306.180	335.107	312.621	338.418	322.084	336.900	321.164	313.533	326.275	336.899
112	336.026	336.026	317.540	311.983	321.456	319.152	313.565	308.569	334.275	320.480	320.292	332.972	325.895	322.683	323.476	321.210	338.675
113	331.555	331.555	309.076	315.608	312.622	321.764	308.662	313.054	307.340	320.880	325.713	323.970	323.912	328.665	314.209	319.230	328.752
114	314.745	314.745	311.855	312.032	318.636	318.705	305.257	308.134	312.625	310.870	317.110	318.491	327.982	323.963	303.332	322.018	325.154
115	312.894	312.894	306.347	309.562	307.667	324.782	306.609	308.960	315.416	322.583	315.026	315.124	323.630	322.059	321.077	327.635	325.798
116	312.326	312.326	299.159	299.532	306.494	303.865	300.209	301.389	310.406	326.761	319.911	313.701	321.308	317.627	316.228	315.662	329.481
117	305.511	305.511	302.032	306.290	305.848	307.257	305.817	296.610	316.209	326.030	314.762	318.981	312.915	319.766	299.372	313.427	321.873
118	302.767	302.767	307.791	301.814	309.802	307.280	293.975	306.083	305.157	296.349	317.178	318.228	305.710	312.048	303.798	305.863	314.819
119	301.923	301.923	305.015	300.483	300.139	304.419	290.361	295.024	300.930	296.923	315.546	313.051	316.003	312.734	315.178	295.888	314.166
120	305.319	305.319	288.991	291.124	295.511	292.812	299.425	295.484	311.717	294.891	317.501	314.851	315.271	318.014	303.514	297.679	317.746
