;idxAnalysis;T;B;F;dx;dy;dz;D2;D3
332;0;221.556;6.0012;128.928990836425;-4640.37974683545;511.07594936709;-424.784851786111;4668.43901329578;184.724926994865
333;0;222.156;6.0036;129.55292037118;-4640.18987341772;483.86075949367;-427.91757148442;4665.34921479048;181.932949779674
334;0;222.756;6.0012;129.62819450383;-4634.24050632911;509.746835443038;-427.673683702254;4662.19121301837;178.76587266783
335;0;223.356;6.0;129.343538941978;-4633.98734177215;522.911392405063;-426.721267341772;4663.39736758638;179.880101819107
336;0;223.957;6.0048;129.407944320856;-4637.15189873418;525.949367088608;-406.53270594987;4666.88337851664;181.556468832649
337;0;224.555;6.0012;129.298960246628;-4638.86075949367;527.151898734178;-393.656673686955;4668.71698331664;182.283753098366
338;0;225.156;6.0036;128.570415561115;-4648.16455696203;513.544303797469;-394.389669371592;4676.44752996982;190.048552046725
339;0;225.756;6.0048;128.941048657355;-4640.82278481013;527.468354430378;-406.53823820778;4670.7021939895;185.36136875811
340;0;226.356;6.0036;128.893953193586;-4639.30379746835;532.151898734176;-411.198194909805;4669.72433538969;184.793652031599
341;0;226.955;6.0036;127.981089755201;-4636.51898734177;575.569620253166;-422.139073993781;4672.10752313548;188.139531663013
342;0;227.556;6.0012;126.976743669673;-4628.79746835443;637.46835443038;-433.773800984234;4672.48669403612;189.578354845538
343;0;228.155;6.0012;127.704759373387;-4630.06329113924;605.316455696202;-432.895485303213;4669.46400473242;186.487455222333
344;0;228.755;6.0012;128.920361141771;-4634.11392405064;545.189873417722;-422.636535897104;4666.07370914318;182.175076838893
345;0;229.356;6.0036;129.898714080097;-4626.96202531646;524.873417721518;-444.240700325818;4656.63716520315;174.779332993082
346;0;229.956;6.0012;130.160123822057;-4618.60759493671;518.354430379747;-483.743069242451;4647.60448311831;169.7117168237
347;0;230.555;6.0036;129.00113667903;-4621.20253164557;521.392405063291;-522.373456162111;4650.52286077008;176.768894533985
348;0;231.156;6.0012;127.657571541082;-4630.3164556962;539.177215189874;-513.739880130168;4661.60300210892;186.826352191209
349;0;231.756;6.0036;129.381777160288;-4628.48101265823;508.987341772152;-478.710402456214;4656.38321002707;177.926003264932
350;0;232.357;6.0;129.970608851318;-4630.6329113924;489.303797468354;-453.426923084159;4656.41271434217;175.437275508245
351;0;232.956;6.0012;130.023907950383;-4632.08860759494;470.063291139242;-464.083558351043;4655.87847417514;175.950514316135
352;0;233.557;6.0048;131.854189222834;-4620.37974683544;453.101265822784;-465.353062302323;4642.5434582842;162.807886599225
353;0;234.157;6.0036;131.707143725797;-4627.15189873418;424.620253164555;-458.251440526478;4646.59413477838;166.136048146535
354;0;234.757;6.0036;132.356119769047;-4626.39240506329;401.26582278481;-452.183738872429;4643.76150832086;162.725139767999
355;0;235.357;6.0012;132.881816578743;-4624.11392405063;357.784810126582;-472.590201486622;4637.93483707526;158.950348459048
356;0;235.956;6.0036;132.665419119324;-4628.29113924051;320.000000000001;-488.965230908559;4639.34034853795;162.036534327427
357;0;236.556;6.006;131.264975521909;-4635.56962025317;336.265822784811;-504.668778623063;4647.75003714563;172.069088677098
358;0;237.155;6.0036;131.274232125241;-4635.6329113924;331.075949367088;-504.193138980337;4647.44056158158;171.710097410169
359;0;237.756;6.0036;131.432179256078;-4634.17721518987;348.417721518987;-493.16956283539;4647.25654235415;170.351002028489
360;0;238.355;6.0;130.835473334939;-4642.53164556962;327.721518987343;-483.736063574903;4654.08438622709;176.156126196869
361;0;238.955;6.0012;131.61396146991;-4637.15189873418;321.455696202532;-483.540812802835;4648.2804881542;170.363158818396
362;0;239.556;6.0012;132.114543967909;-4637.21518987342;280.569620253164;-485.478313053709;4645.69521482003;167.992744743586
363;0;240.155;6.0036;132.656918627761;-4627.84810126582;326.26582278481;-487.661021490835;4639.33480528266;161.894501206711
364;0;240.755;6.0048;132.556172022007;-4627.21518987342;337.911392405063;-489.443932882994;4639.53710218082;162.282401521734
365;0;241.356;6.0036;132.02830941953;-4633.54430379747;327.025316455696;-484.161000883058;4645.07033023795;167.234496000495
366;0;241.956;6.0036;133.214902191462;-4630.0;279.177215189873;-479.575070257212;4638.40920116813;160.135443614459
367;0;242.555;6.0048;131.9053133867;-4636.01265822785;325.886075949367;-478.386266861932;4647.45253894502;169.009045589338
368;0;243.155;6.0048;132.92682238391;-4632.21518987342;288.734177215191;-476.294079038316;4641.20512263638;162.580461219492
369;0;243.756;6.0012;132.846732263837;-4636.70886075949;263.544303797469;-463.831921029631;4644.19257347385;164.297366836156
370;0;244.355;6.0012;132.585906199622;-4638.67088607595;278.291139240506;-456.130060060849;4647.01124891133;166.343441984058
371;0;244.956;6.0012;132.324558353147;-4640.25316455696;296.07594936709;-448.178709604879;4649.68927983092;168.239081305691
372;0;245.555;6.0048;132.031001883966;-4645.06329113924;309.430379746836;-429.508136659445;4655.35821807512;172.12966430411
373;0;246.156;6.0036;129.708429076865;-4665.06329113924;318.797468354429;-416.097819392432;4675.94347016344;191.420595927385
374;0;246.756;6.0012;130.445190829225;-4658.98734177215;308.67088607595;-419.266729361926;4669.20129858459;184.987346085089
375;0;247.356;6.0036;130.86096332141;-4654.17721518987;316.20253164557;-426.210778683909;4664.90617176933;181.336155665813
376;0;247.955;6.0012;130.027199446171;-4656.70886075949;348.544303797469;-425.562690378142;4669.73452624297;186.085641042132
377;0;248.555;6.0036;130.212625698948;-4650.37974683544;395.886075949367;-418.435377713488;4667.20018586174;182.919945990338
378;0;249.155;6.0048;131.184477008655;-4641.70886075949;407.468354430379;-412.87563179596;4659.55916454716;174.815504618187
379;0;249.755;6.0;131.284151242079;-4640.06329113924;418.544303797468;-399.23061920349;4658.90187490778;172.976022963422
380;0;250.355;6.0036;131.805807707223;-4640.69620253164;402.405063291138;-388.011097957871;4658.11024763841;171.242579423157
381;0;250.955;6.0036;131.895517469723;-4644.43037974684;387.53164556962;-371.436109105753;4660.57017205333;172.348020391729
382;0;251.555;6.0036;130.745210426432;-4652.46835443038;409.367088607596;-358.652867074709;4670.44357660075;181.194176298854
383;0;252.646;6.0;130.391040079895;-4654.49367088608;426.32911392405;-338.682965654643;4673.9777326917;183.232388275514
384;0;253.246;6.0012;130.786219842646;-4657.3417721519;402.151898734178;-320.650374211937;4674.67202403404;182.656324867281
385;0;253.846;6.0012;131.413326691043;-4661.39240506329;353.101265822785;-298.802413070988;4674.74701539104;181.286769612259
386;0;254.446;6.0012;131.353674170635;-4662.21518987342;362.848101265821;-283.707391705572;4676.31363589726;181.911856736157
387;0;255.045;6.0036;132.297665239281;-4662.59493670886;308.607594936709;-274.817679721436;4672.79682754084;177.871174104584
