;ExpType;ExpDay;CellID;CellName;CompNum;TpsComp;MaxIndent;MinThickness;Hysteresis;CompTime;InitialThickness;SurroundingThickness;PreviousThickness;H0Chadwick;EChadwick;CiEChadwick;R2Chadwick;FitParams;Validated;Comments;manipID;date;manip;experimentType;drug;substrate;objective magnification;scale pixel per um;objective immersion;optical index correction;magnetic field correction;cell type;cell subtype;bead type;bead diameter;normal field;ramp field;compression duration;with fluo images;bacteria;comments;cellID;meanFluoPeakAmplitude
31;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;8;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
32;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;9;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
33;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;10;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
34;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C2;20-08-05_M2_P1_C2;11;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
35;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;1;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
36;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;2;1s;102.30536407550301;-101.44866663472601;0.514619305355811;34.4944594594595;0.85669744077768;-90.7811819889157;-90.7811819889157;86.6123058016931;874.218302443833;49.7940197807759;0.9927923900364519;Strain100-R20.9;0;No Convergence on H0 ;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
37;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;3;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
38;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;4;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
39;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;5;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
40;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;6;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
41;3T3aSFL_BSA_nodrugs;20-08-05;M2_P1_C3;20-08-05_M2_P1_C3;7;1s;;;;;;;;;;;;Strain100-R20.9;0;Couldn't be fitted;20-08-05_M2;20-08-05;M2;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
