ExpType,ExpDay,CellID,CellName,CompNum,TpsComp,MaxIndent,MinThickness,Hysteresis,CompTime,InitialThickness,SurroundingThickness,PreviousThickness,H0Chadwick,EChadwick,CiEChadwick,R2Chadwick,FitParams,Validated,Comments
DictyDB_M450,20-10-22,M1_P1_C3,20-10-22_M1_P1_C3,5,12s,73.0420905761067,67.0981517239451,0.570828731758528,144.262131147541,140.140242300052,187.336389832772,233.008923096106,170.006678199869,6463.45805711172,1271.27528400338,0.960341940857481,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C3,20-10-22_M1_P1_C3,6,12s,116.36749910592,52.7080616819751,0.632842107060095,177.62968852459,169.075560787895,159.058274135789,183.64367985755,276.165258805459,2654.29738778619,1161.63280617244,0.718474775354524,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,1,12s,67.9201270238293,267.27221801363,-1.38479323529063,10.4558032786885,335.192345037459,355.332314055577,297.687504234693,809.408530096094,619.247554754231,2044.02149604895,0.0544229184660426,Strain100-R20.9,0,Has too big CI on E & Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,2,12s,164.85256050163,106.576053947425,0.667108256473745,44.1859344262295,271.428614449054,224.087672370214,381.025878655851,253.219800965146,4849.3176226213,742.140862460419,0.980765999443744,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,3,12s,65.2091678731124,144.97048186749,-0.00735826262678162,77.5586393442623,210.179649740602,197.584079006878,138.78000370778,214.031946914968,20848.5285871223,5986.18436538451,0.929401109332665,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,4,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,5,12s,53.8227539565262,97.4558658681879,0.500625360178082,144.305016393443,151.278619824714,165.894826983425,170.949382226347,168.048146105734,15175.5208842441,2605.5690780527,0.974776684085781,Strain100-R20.9,1,Succes!
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,6,12s,100.150930407565,44.7229452656703,0.963745356090426,177.679327868852,144.873875673235,124.562301149042,156.24318034827,185.476213160639,3783.15905195128,928.40940700661,0.937376721517493,Strain100-R20.9,0,Has large jumps 
DictyDB_M450,20-10-22,M1_P1_C4,20-10-22_M1_P1_C4,7,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,1,12s,178.152442160551,37.326000018675,0.402875720913022,10.4567213114754,215.478442179226,96.0364758072092,194.18778535706,342.633066278973,1404.60750211482,387.981354607331,0.884942262820393,Strain100-R20.9,0,Has large jumps & Bad R2 on fit 
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,2,12s,64.7459329851812,-0.610572430201906,0.255905427857924,44.1958360655738,64.1353605549793,32.9899043036794,41.6517976146151,109.24203043261,4623.10484199083,957.984650521648,0.919095114598103,Strain100-R20.9,0,Has large jumps 
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,3,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,4,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,5,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
DictyDB_M450,20-10-22,M1_P1_C6,20-10-22_M1_P1_C6,6,12s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Strain100-R20.9,0,Couldn't be fitted
