;date;cellID;manipID;compNum ;Adhesion;Minor;Majeur;Square_Mean_radius;Radius ;ratio_adhesion;Area_ellipse;mean_area;area_adhesion;ratio_area;User_Validation;Comment
154;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;9;;;;;;;0;;;;;
155;22/07/2006;22-07-06_M1_P1_C4;22-07-06_M1;10;;;;;;;0;;;;;
156;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;1;15;225;232;228.5268037;14.25671473;0.950447649;656.9104972;638.2057468;706.8583471;0.902876438;;
157;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;2;15;223;234;228.566183;;0.950447649;656.6839763;;706.8583471;;;
158;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;3;15;222;230;226.0353955;;0.950447649;642.564176;;706.8583471;;;
159;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;4;15;220;227;223.5274032;;0.950447649;628.4695446;;706.8583471;;;
160;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;5;15;223;228;225.5138577;;0.950447649;639.8459256;;706.8583471;;;
161;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;6;15;219;228;223.5452974;;0.950447649;628.3688687;;706.8583471;;;
162;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;7;15;222;227;224.5139194;;0.950447649;634.1829041;;706.8583471;;;
163;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;8;15;220;226;223.0201785;;0.950447649;625.7009563;;706.8583471;;;
164;22/07/2006;22-07-06_M1_P1_C5;22-07-06_M1;9;15;219;229;224.0557966;;0.950447649;631.1248725;;706.8583471;;;
165;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;1;15;265;289;277.259806;17.44787165;1.163191444;963.7833415;954.0753046;706.8583471;1.349740452;;
166;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;2;15;266;287;276.6992953;;1.163191444;960.7253099;;706.8583471;;;
167;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;3;15;270;285;277.6013328;;1.163191444;968.3766812;;706.8583471;;;
168;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;4;15;274;285;279.5541093;;1.163191444;982.7230024;;706.8583471;;;
169;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;5;15;263;274;268.5563256;;1.163191444;906.8636829;;706.8583471;;;
170;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;6;15;264;284;274.182421;;1.163191444;943.5348934;;706.8583471;;;
171;22/07/2006;22-07-06_M1_P1_C6-2;22-07-06_M1;7;15;261;290;275.8813151;;1.163191444;952.5202209;;706.8583471;;;
172;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;1;15;274;284;279.0447993;17.50710697;1.167140465;979.2748515;962.2417412;706.8583471;1.361293596;;
173;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;2;15;270;280;275.0454508;;1.167140465;951.3876166;;706.8583471;;;
174;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;3;15;268;278;273.0457837;;1.167140465;937.5950131;;706.8583471;;;
175;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;4;15;275;281;278.0161866;;1.167140465;972.4666412;;706.8583471;;;
176;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;5;15;270;282;276.0652097;;1.167140465;958.1832424;;706.8583471;;;
177;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;6;15;272;281;276.536616;;1.167140465;961.8579142;;706.8583471;;;
178;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;7;15;274;282;278.0287755;;1.167140465;972.3785497;;706.8583471;;;
179;22/07/2006;22-07-06_M1_P1_C6;22-07-06_M1;8;15;269;285;277.1154994;;1.167140465;964.7901009;;706.8583471;;;
180;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;1;25;326;350;338.2129507;21.52282559;0.860913023;1435.89057;1447.617918;1963.495408;0.737265752;;
181;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;2;25;327;357;342.3287893;;0.860913023;1469.101045;;1963.495408;;;
182;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;3;25;325;358;341.8983767;;0.860913023;1464.205677;;1963.495408;;;
183;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;4;25;324;356;340.3762624;;0.860913023;1451.545678;;1963.495408;;;
184;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;5;25;321;358;340.0036765;;0.860913023;1446.184684;;1963.495408;;;
185;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;6;25;321;358;340.0036765;;0.860913023;1446.184684;;1963.495408;;;
186;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;7;25;318;359;339.1201852;;0.860913023;1436.670808;;1963.495408;;;
187;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;8;25;321;356;338.9520615;;0.860913023;1438.10544;;1963.495408;;;
188;22/07/2006;22-07-06_M1_P1_C8;22-07-06_M1;9;25;318;360;339.6498197;;0.860913023;1440.672677;;1963.495408;;;
189;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;1;25;251;280;265.8956562;16.67480513;0.666992205;884.4381177;868.2591798;1963.495408;0.442200769;;
190;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;2;25;249;282;266.0122178;;0.666992205;883.6578791;;1963.495408;;;
191;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;3;25;246;279;263.0180602;;0.666992205;863.7240434;;1963.495408;;;
192;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;4;25;249;276;262.8469136;;0.666992205;864.8566477;;1963.495408;;;
193;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;5;25;248;278;263.4274094;;0.666992205;867.625236;;1963.495408;;;
194;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;6;25;249;279;264.425793;;0.666992205;874.2572634;;1963.495408;;;
195;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;7;25;246;276;261.4306791;;0.666992205;854.4366881;;1963.495408;;;
196;22/07/2006;22-07-06_M1_P1_C9;22-07-06_M1;8;25;252;269;260.6386387;;0.666992205;853.0775629;;1963.495408;;;
197;22/07/2006;22-07-06_M2_P1_C1;22-07-06_M2;1;10;318;325;321.5190508;20.42908308;2.042908308;1300.607277;1310.664384;314.1592654;4.17197431;;
198;22/07/2006;22-07-06_M2_P1_C1;22-07-06_M2;2;10;317;328;322.5468958;;2.042908308;1308.48517;;314.1592654;;;
199;22/07/2006;22-07-06_M2_P1_C1;22-07-06_M2;3;10;318;327;322.5313938;;2.042908308;1308.611015;;314.1592654;;;
200;22/07/2006;22-07-06_M2_P1_C1;22-07-06_M2;4;10;317;328;322.5468958;;2.042908308;1308.48517;;314.1592654;;;
201;22/07/2006;22-07-06_M2_P1_C1;22-07-06_M2;5;10;323;325;324.0015432;;2.042908308;1321.057077;;314.1592654;;;
202;22/07/2006;22-07-06_M2_P1_C1;22-07-06_M2;6;10;319;328;323.5312968;;2.042908308;1316.740597;;314.1592654;;;
203;22/07/2006;22-07-06_M2_P1_C3;22-07-06_M2;1;20;417;430;423.549879;26.75734856;1.337867428;2256.525311;2248.934765;1256.637061;1.789645423;;
204;22/07/2006;22-07-06_M2_P1_C3;22-07-06_M2;2;20;417;423;420.0107141;;1.337867428;2219.791178;;1256.637061;;;
205;22/07/2006;22-07-06_M2_P1_C3;22-07-06_M2;3;20;421;426;423.5073789;;1.337867428;2256.978353;;1256.637061;;;
