;idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
536;4;41.97699999999895;70142.846;3.497;0.0;4.477476261404079;-2.0441624256731457;0.324;4.922031460075298;4.932683822623438
537;4;41.99299999998766;70142.862;3.644;0.0;4.475835191119312;-2.0455096362146814;0.32;4.921098488133434;4.931491694194483
538;4;42.00699999999779;70142.876;3.753;0.0;4.4767589851036425;-2.04577818613501;0.326;4.922050324567197;4.932834418219615
539;4;42.021999999997206;70142.891;3.903;0.0;4.479377044131433;-2.0393948049931994;0.322;4.921783200642314;4.932305127840825
540;4;42.038000000000466;70142.907;4.159;0.0;4.478767396941816;-2.041837569403384;0.324;4.922241161883079;4.93289307158954
541;4;42.05199999999604;70142.921;4.39;0.0;4.478242106374313;-2.0405407712613775;0.326;4.921225355791362;4.932011253280331
542;4;42.0679999999993;70142.937;4.585;0.0;4.483255657440252;-2.0345011650839777;0.322;4.923289172971469;4.933807888507425
543;4;42.08299999999872;70142.952;4.824;0.0;4.483062022378943;-2.037018859860587;0.324;4.924153829027287;4.934801610189015
544;4;42.09799999999814;70142.967;5.108;0.0;4.478690654742534;-2.0390991673848893;0.324;4.921036008332784;4.931690521039196
545;4;42.112999999997555;70142.982;5.437;0.0;4.48028354819126;-2.0373615081657404;0.326;4.921766206063495;4.932550920887554
546;4;42.12699999999313;70142.996;5.688;0.0;4.477918312694469;-2.0349784714977406;0.322;4.918626820020377;4.929155484930838
547;4;42.14299999999639;70143.012;5.993;0.0;4.48193573707244;-2.030677252283048;0.322;4.920507906119744;4.931032554565718
548;4;42.15799999999581;70143.027;6.39;0.0;4.4849129250564195;-2.027061352212346;0.32;4.921729540615887;4.932121416892641
549;4;42.171999999991385;70143.041;6.767;0.0;4.484766554804318;-2.0237774028713424;0.32;4.920244508910514;4.930639515059285
550;4;42.187999999994645;70143.057;7.104;0.0;4.484128250703573;-2.0205658509834428;0.318;4.918342457263252;4.9286120284435375
551;4;42.20299999999406;70143.072;7.449;0.0;4.48560016096466;-2.0171354244104394;0.318;4.918276540055232;4.928546248586662
552;4;42.21699999998964;70143.086;7.932;0.0;4.490003850224575;-2.0153776504625074;0.314;4.9215730868306;4.931579630201187
553;4;42.2329999999929;70143.102;8.39;0.0;4.494107788437148;-2.008342108720954;0.312;4.922442771607727;4.932320634321451
554;4;42.246999999988475;70143.116;8.82;0.0;4.495658480440691;-2.0041220283250882;0.312;4.92213879092983;4.9320172624572365
555;4;42.262999999991735;70143.132;9.271;0.0;4.494403268833685;-1.9944023271210132;0.306;4.917041934469202;4.926554311618682
556;4;42.27699999998731;70143.146;9.822;0.0;4.498565922217091;-1.9896016479131022;0.322;4.918903340574141;4.929431414870425
557;4;42.29299999999057;70143.162;10.362;0.0;4.500292786384836;-1.9832566617505973;0.318;4.91792051070018;4.928190961150503
558;4;42.3070000000007;70143.176;10.845;0.0;4.50259706901139;-1.977388984444201;0.316;4.917666881934077;4.927809205080004
559;4;42.322999999989406;70143.192;11.376;0.0;4.503728184867404;-1.9722827413818302;0.314;4.916651988408542;4.926668527019213
560;4;42.336999999999534;70143.206;12.001;0.0;4.507626555106971;-1.9682792069311617;0.314;4.918619745085312;4.928632284594085
561;4;42.35299999998824;70143.222;12.622;0.0;4.507280627752399;-1.9616767683082657;0.312;4.915664187129998;4.925555643846939
562;4;42.36699999999837;70143.236;13.17;0.0;4.507773395187378;-1.9566008039525755;0.308;4.914092763510576;4.923735542084588
563;4;42.38299999998708;70143.252;13.762;0.0;4.514828214422205;-1.9459472811534038;0.306;4.916338538665856;4.925852274152273
564;4;42.39800000000105;70143.267;14.46;0.0;4.513090087166261;-1.9393757030732743;0.3;4.912144160399746;4.921296602781561
565;4;42.411999999996624;70143.281;15.137;0.0;4.518507830297673;-1.9307947163365986;0.296;4.913744117177319;4.9226514450136225
566;4;42.427999999999884;70143.297;15.778;0.0;4.519335575431781;-1.925103029573176;0.222;4.912271950720474;4.917285808028158
567;4;42.44199999999546;70143.311;16.464;0.0;4.521660882500097;-1.9133483163505476;0.262;4.909818623535194;4.916804136429783
568;4;42.45799999999872;70143.327;17.227;0.0;4.521915298567345;-1.9024856090636384;0.258;4.90583014994523;4.912609638482549
569;4;42.47299999999814;70143.342;17.993;0.0;4.528648399970473;-1.8938821958609684;0.25;4.908711246585431;4.915073356762266
570;4;42.486999999993714;70143.356;18.748;0.0;4.527459733487892;-1.88797181398971;0.248;4.905336808902509;4.91160189844147
571;4;42.50299999999697;70143.372;19.434;0.0;4.532669851754373;-1.880337199164832;0.232;4.9072155004203815;4.912696608540573
572;4;42.51699999999255;70143.386;20.338;0.0;4.53453138248003;-1.8703189055803733;0.232;4.905106285012346;4.910589747399758
573;4;42.53299999999581;70143.402;21.134;0.0;4.537246974947119;-1.8647594151248388;0.226;4.905500768317493;4.910704001257204
574;4;42.546999999991385;70143.416;21.973;0.0;4.5432836000322006;-1.8535445319947312;0.22;4.906837393108632;4.911766810670995
575;4;42.562999999994645;70143.432;22.752;0.0;4.545377528029564;-1.8424572212426313;0.212;4.9046004408540025;4.909180123444777
576;4;42.57699999999022;70143.446;23.718;0.0;4.546724871381206;-1.8364705749325383;0.208;4.903603902093795;4.908013368831577
577;4;42.59299999999348;70143.462;24.578;0.0;4.551398127540044;-1.8240488413976308;0.198;4.90330287573377;4.9072989608519935
578;4;42.60699999998906;70143.476;25.515;0.0;4.551885258223861;-1.817622575017312;0.206;4.901368301734555;4.905695386920011
579;4;42.62299999999232;70143.492;26.396;0.0;4.553227991045777;-1.8036930095771226;0.18;4.897468081696923;4.900774797033642
580;4;42.63699999998789;70143.506;27.402;0.0;4.557491917637834;-1.7972070577692665;0.174;4.899049477993649;4.90213849129437
581;4;42.65299999999115;70143.522;28.355;0.0;4.559689013413687;-1.7852397876432338;0.182;4.89671777810708;4.900098876393204
582;4;42.66699999998673;70143.536;29.365;0.0;4.563514755744467;-1.7752031798926244;0.176;4.896632848784802;4.899794817724347
583;4;42.68499999999767;70143.554;30.266;0.0;4.56662286500773;-1.7619230032770499;0.174;4.894733604670251;4.897825339953257
584;4;42.697999999989406;70143.567;31.394;0.0;4.5714094303036745;-1.7547080957069199;0.148;4.8966095086915775;4.898845647763233
585;4;42.711999999999534;70143.581;32.412;0.0;4.572851618376452;-1.7447747392752486;0.136;4.894406073723466;4.896295213168948
586;4;42.72799999998824;70143.597;33.463;0.0;4.5772674453277125;-1.7346430044886236;0.164;4.8949324427491545;4.897679003270651
587;4;42.74199999999837;70143.611;34.506;0.0;4.579948866214171;-1.7231423127479366;0.168;4.893378285716197;4.896261333621683
588;4;42.75799999998708;70143.627;35.699;0.0;4.579547050322723;-1.7161574446199748;0.166;4.890546754795839;4.893363215707997
589;4;42.771999999997206;70143.641;36.77;0.0;4.585252910351459;-1.705336515990142;0.158;4.892107611720731;4.894658403265331
590;4;42.788000000000466;70143.657;37.95;0.0;4.5887374619723635;-1.6895292891225024;0.15;4.8898896422834905;4.892189766731393
591;4;42.80199999999604;70143.671;39.029;0.0;4.59177138872399;-1.6797483206094173;0.148;4.889367945542082;4.891607395007739
592;4;42.8179999999993;70143.687;40.271;0.0;4.593294280854374;-1.6688743102747503;0.13;4.887074156796121;4.888802901940773
593;4;42.83299999999872;70143.702;41.435;0.0;4.596116258827909;-1.6576751603081703;0.13;4.885915635964764;4.887644790874738
594;4;42.846999999994296;70143.716;39.253;0.0;4.598675709408838;-1.649357946621164;0.128;4.885509176778738;4.8871856846644635
595;4;42.862999999997555;70143.732;38.035;0.0;4.599712539668708;-1.6462930695283244;0.13;4.885451495856095;4.8871808149855225
596;4;42.87699999999313;70143.746;36.993;0.0;4.600362462260012;-1.6445258165203;0.144;4.885468242182397;4.88758999358301
597;4;42.89299999999639;70143.762;35.824;0.0;4.5994473099770445;-1.6431025740084129;0.14;4.884127519421267;4.886133607052527
598;4;42.90699999999197;70143.776;34.782;0.0;4.60321645161778;-1.6371269964746815;0.126;4.88567155087515;4.887296031859621
599;4;42.921999999991385;70143.791;33.613;0.0;4.604236548844646;-1.6338812112828502;0.108;4.885546234588306;4.8867398140580365
600;4;42.937999999994645;70143.807;32.587;0.0;4.6068378047106675;-1.6318748222592943;0.12;4.887327489992379;4.888800465802957
601;4;42.95299999999406;70143.822;31.556;0.0;4.605643103663406;-1.6370147138201758;0.12;4.8879203728770015;4.889393170076021
602;4;42.96799999999348;70143.837;30.546;0.0;4.605081382195673;-1.6376887452100086;0.144;4.887616900170546;4.88973771922715
603;4;42.9829999999929;70143.852;29.443;0.0;4.6051756632345535;-1.6405730048182428;0.12;4.88867289490575;4.890145465462777
604;4;42.996999999988475;70143.866;28.526;0.0;4.604723917434253;-1.6445075187074834;0.124;4.889569238171855;4.891141312094397
605;4;43.012999999991735;70143.882;27.572;0.0;4.605437450160756;-1.64800868713352;0.122;4.891419705996487;4.892940909127225
606;4;43.02699999998731;70143.896;26.582;0.0;4.603538139786899;-1.6551686822775875;0.128;4.892049342685041;4.893723610019792
607;4;43.04299999999057;70143.912;25.621;0.0;4.603889968030485;-1.6576031330701175;0.136;4.89320457210769;4.89509417524276
608;4;43.0570000000007;70143.926;24.753;0.0;4.603593012859299;-1.6607757098159648;0.144;4.89400087723344;4.896118930986224
