;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
249;3T3;aSFL;M450;none;20um fibronectin discs;6;9067.468896099945;303.2723519617665;269.53708877713507;355.5553204110006
250;3T3;aSFL;M450;none;20um fibronectin discs;7;9874.754584952188;269.33414160173805;242.65970766306464;355.5553204110006
251;3T3;aSFL;M450;none;20um fibronectin discs;8;10670.233268043288;273.98713746593893;242.7205019418448;355.5553204110006
252;3T3;aSFL;M450;none;20um fibronectin discs;9;7956.9493799403535;329.49819013369773;294.1831118967202;355.5553204110006
253;3T3;aSFL;M450;none;20um fibronectin discs;10;2632.046617132055;484.36043685169375;386.6886955339646;355.5553204110006
254;3T3;aSFL;M450;none;20um fibronectin discs;11;1821.1275933132076;603.8046920620429;486.9568858608504;355.5553204110006
255;3T3;aSFL;M450;none;20um fibronectin discs;12;2486.604422795542;475.0266213000314;356.293113837115;355.5553204110006
256;3T3;aSFL;M450;none;20um fibronectin discs;13;4153.75204013979;419.1898853769367;369.5740698755403;355.5553204110006
257;3T3;aSFL;M450;none;20um fibronectin discs;14;6233.324593677694;392.9415842555347;391.6973451695503;355.5553204110006
258;3T3;aSFL;M450;none;20um fibronectin discs;15;3782.7138903115406;523.6359060433095;478.13406436999;355.5553204110006
259;3T3;aSFL;M450;none;20um fibronectin discs;16;3066.4434390596757;524.3680943574666;446.8798045167701;355.5553204110006
260;3T3;aSFL;M450;none;20um fibronectin discs;17;10425.942503488162;383.7154635831254;388.97663973098497;355.5553204110006
261;3T3;aSFL;M450;none;20um fibronectin discs;19;3310.7014676836834;471.41783306004703;416.07531991038513;355.5553204110006
262;3T3;aSFL;M450;none;20um fibronectin discs;1;1710.507027459464;720.0018629814313;569.2070017884153;499.8751374829649
263;3T3;aSFL;M450;none;20um fibronectin discs;2;1725.428197958072;746.2469709172855;612.0756133934701;499.8751374829649
264;3T3;aSFL;M450;none;20um fibronectin discs;3;1449.39020683997;836.6142739552175;638.4629529968056;499.8751374829649
265;3T3;aSFL;M450;none;20um fibronectin discs;4;1987.033479148086;734.165833467347;604.4021363367351;499.8751374829649
266;3T3;aSFL;M450;none;20um fibronectin discs;5;1697.989198415985;742.8459611236688;543.6923847209946;499.8751374829649
267;3T3;aSFL;M450;none;20um fibronectin discs;6;2275.3829049955484;641.54530190785;472.9854434928207;499.8751374829649
268;3T3;aSFL;M450;none;20um fibronectin discs;7;3418.6489248364337;549.6106923498489;430.08553753602473;499.8751374829649
269;3T3;aSFL;M450;none;20um fibronectin discs;8;4634.293014902678;528.824641553358;440.14997489014513;499.8751374829649
270;3T3;aSFL;M450;none;20um fibronectin discs;9;2627.680518556003;613.4888277502355;435.0425138566402;499.8751374829649
271;3T3;aSFL;M450;none;20um fibronectin discs;10;2974.997212196306;567.9717190848028;446.0544483163698;499.8751374829649
272;3T3;aSFL;M450;none;20um fibronectin discs;11;1785.0209996090175;660.4396713045785;462.70793931683966;499.8751374829649
273;3T3;aSFL;M450;none;20um fibronectin discs;1;952.485433610016;855.2131998184606;632.650040905095;565.1417621473252
274;3T3;aSFL;M450;none;20um fibronectin discs;2;1591.767841018436;697.7843772637557;551.4308832034048;565.1417621473252
275;3T3;aSFL;M450;none;20um fibronectin discs;3;1439.599770179402;755.0468374695979;549.0428387517254;565.1417621473252
276;3T3;aSFL;M450;none;20um fibronectin discs;4;1787.1427299612112;721.0538311954344;556.380104200955;565.1417621473252
277;3T3;aSFL;M450;none;20um fibronectin discs;5;1098.4427009600745;761.8392083509799;580.3528884960051;565.1417621473252
278;3T3;aSFL;M450;none;20um fibronectin discs;6;1075.5100281169136;810.2113725635049;595.1378494485152;565.1417621473252
279;3T3;aSFL;M450;none;20um fibronectin discs;7;1161.1432454222436;860.6285883457009;613.1082456142449;565.1417621473252
280;3T3;aSFL;M450;none;20um fibronectin discs;8;1218.679787697036;729.1356193753495;543.1681525846948;565.1417621473252
281;3T3;aSFL;M450;none;20um fibronectin discs;9;1300.3757825469818;653.7566138033916;472.0360732468303;565.1417621473252
282;3T3;aSFL;M450;none;20um fibronectin discs;10;1562.061346923454;653.042342990437;481.2042661848;565.1417621473252
283;3T3;aSFL;M450;none;20um fibronectin discs;11;1773.4271657702452;768.607364236635;575.12790686688;565.1417621473252
284;3T3;aSFL;M450;none;20um fibronectin discs;12;1342.2250172407814;834.8886172731922;636.8383771737399;565.1417621473252
285;3T3;aSFL;M450;none;20um fibronectin discs;13;1237.1333097895067;788.3845878375691;576.7419204313101;565.1417621473252
286;3T3;aSFL;M450;none;20um fibronectin discs;14;1204.4942803515391;679.8255772176187;472.2588563962395;565.1417621473252
287;3T3;aSFL;M450;none;20um fibronectin discs;2;2414.176813308663;399.7017832670955;258.10283954643;234.53259117702464
288;3T3;aSFL;M450;none;20um fibronectin discs;3;3318.287295777908;341.03060049348784;223.8927654320701;234.53259117702464
289;3T3;aSFL;M450;none;20um fibronectin discs;4;3927.131827367222;324.40400987003625;219.06700245348475;234.53259117702464
290;3T3;aSFL;M450;none;20um fibronectin discs;8;10099.73403280428;300.4545577999969;240.3080295466048;234.53259117702464
291;3T3;aSFL;M450;none;20um fibronectin discs;10;2516.8644524278907;497.1428518402741;335.8112661438354;234.53259117702464
292;3T3;aSFL;M450;none;20um fibronectin discs;11;2558.180055481206;450.8114869575473;309.2244650145244;234.53259117702464
293;3T3;aSFL;M450;none;20um fibronectin discs;1;7241.525256456929;334.55132738580767;265.80528269455;268.730478702465
294;3T3;aSFL;M450;none;20um fibronectin discs;2;10163.136327163787;331.5526722937318;273.1492930132504;268.730478702465
